"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,4e-04
"[-5.04,-4.8)",4e-04,4e-04,4e-04,4e-04
"[-4.8,-4.56)",4e-04,8e-04,4e-04,8e-04
"[-4.56,-4.32)",8e-04,4e-04,8e-04,0
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,8e-04,0,8e-04
"[-3.84,-3.6)",8e-04,8e-04,8e-04,8e-04
"[-3.6,-3.36)",8e-04,4e-04,8e-04,8e-04
"[-3.36,-3.12)",0.0012,0.0016,0.0012,0.0016
"[-3.12,-2.88)",0.002,0.0016,0.0024,0.0024
"[-2.88,-2.64)",0.002,0.0028,0.002,0.0036
"[-2.64,-2.4)",0.0036,0.0036,0.0036,0.0024
"[-2.4,-2.16)",0.0032,0.0052,0.0036,0.006
"[-2.16,-1.92)",0.0068,0.006,0.0096,0.0088
"[-1.92,-1.68)",0.0128,0.0152,0.0144,0.0192
"[-1.68,-1.44)",0.0196,0.022,0.0212,0.0204
"[-1.44,-1.2)",0.0296,0.032,0.0324,0.0352
"[-1.2,-0.96)",0.0384,0.0384,0.0428,0.0428
"[-0.96,-0.72)",0.0628,0.0644,0.062,0.0612
"[-0.72,-0.48)",0.0736,0.0756,0.0816,0.0764
"[-0.48,-0.24)",0.1104,0.106,0.0996,0.1012
"[-0.24,0)",0.1196,0.1112,0.112,0.1052
"[0,0.24)",0.118,0.112,0.1124,0.104
"[0.24,0.48)",0.1084,0.1044,0.1008,0.1004
"[0.48,0.72)",0.0908,0.0872,0.0856,0.0876
"[0.72,0.96)",0.0696,0.0676,0.0672,0.0644
"[0.96,1.2)",0.0416,0.0476,0.046,0.0508
"[1.2,1.44)",0.0296,0.0312,0.0352,0.0332
"[1.44,1.68)",0.0136,0.0168,0.0176,0.0204
"[1.68,1.92)",0.0124,0.0124,0.0144,0.0128
"[1.92,2.16)",0.008,0.0104,0.0088,0.0108
"[2.16,2.4)",0.0044,0.0044,0.0052,0.0068
"[2.4,2.64)",0.0024,0.0032,0.0024,0.0044
"[2.64,2.88)",0.0012,0.0024,0.002,0.002
"[2.88,3.12)",0.002,0.002,0.0016,0.0016
"[3.12,3.36)",0.0028,0.0016,0.0032,0.002
"[3.36,3.6)",0.0016,0.0024,0.0012,0.0028
"[3.6,3.84)",8e-04,0.0012,8e-04,8e-04
"[3.84,4.08)",4e-04,4e-04,4e-04,0.0012
"[4.08,4.32)",8e-04,4e-04,8e-04,4e-04
"[4.32,4.56)",4e-04,8e-04,4e-04,4e-04
"[4.56,4.8)",4e-04,4e-04,4e-04,4e-04
"[4.8,5.04)",0,0,0,4e-04
"[5.04,5.28)",4e-04,4e-04,4e-04,0
"[5.28,5.52)",4e-04,4e-04,4e-04,4e-04
"[5.52,5.76)",0,0,0,4e-04
"[5.76,6)",0,0,0,0
