"","quantity","estimator","value"
"1","mean","PM",0.0224130555039993
"2","mean","CB",0.0224130555039993
"3","mean","GR",0.0225011606591045
"4","mean","ML",0.0220876910699266
"5","var","PM",0.982318405087359
"6","var","CB",1.07218650489214
"7","var","GR",1.05414835843692
"8","var","ML",1.17491392527847
"9","var","true",1.05639250153338
"10","SSEL","PM",0.0941319716241485
"11","SSEL","CB",0.096838634539995
"12","SSEL","GR",0.0980275976395537
"13","SSEL","ML",0.101391975731764
"14","WSSEL","PM",2.35329929060371
"15","WSSEL","CB",2.42096586349988
"16","WSSEL","GR",2.45068994098884
"17","WSSEL","ML",2.53479939329411
"18","ISEL","PM",0.0131482714935501
"19","ISEL","CB",0.0131925746237771
"20","ISEL","GR",0.00893605714745075
"21","ISEL","ML",0.0109400162573044
"22","SELrank","PM",0.0121680473372781
"23","SELrank","CB",0.0121680473372781
"24","SELrank","GR",0.0121502958579882
"25","SELrank","ML",0.0121952662721893
