"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0508,8e-04
"2","PM",0.1,0.0976,-0.0024
"3","PM",0.25,0.25,0
"4","PM",0.75,0.748,-0.002
"5","PM",0.9,0.9244,0.0244
"6","PM",0.95,0.9652,0.0152
"7","CB",0.05,0.0608,0.0108
"8","CB",0.1,0.1176,0.0176
"9","CB",0.25,0.2688,0.0188
"10","CB",0.75,0.7436,-0.0064
"11","CB",0.9,0.916,0.016
"12","CB",0.95,0.956,0.006
"13","GR",0.05,0.0736000000000001,0.0236
"14","GR",0.1,0.1236,0.0236
"15","GR",0.25,0.2632,0.0132
"16","GR",0.75,0.7288,-0.0212
"17","GR",0.9,0.924,0.024
"18","GR",0.95,0.96,0.01
"19","ML",0.05,0.0736000000000001,0.0236
"20","ML",0.1,0.1328,0.0328
"21","ML",0.25,0.2844,0.0344
"22","ML",0.75,0.736,-0.014
"23","ML",0.9,0.9036,0.0036
"24","ML",0.95,0.9472,-0.0028
