"","quantity","estimator","value"
"1","mean","PM",-0.00782527010081738
"2","mean","CB",-0.00782527010081738
"3","mean","GR",-0.00795652442181739
"4","mean","ML",-0.00789500990093499
"5","var","PM",0.938854454970341
"6","var","CB",1.02965388279967
"7","var","GR",1.0120204395624
"8","var","ML",1.13033142382331
"9","var","true",1.02306938096039
"10","SSEL","PM",0.0942992448565892
"11","SSEL","CB",0.0962298664982507
"12","SSEL","GR",0.105157309370812
"13","SSEL","ML",0.103121570134665
"14","WSSEL","PM",2.35748112141473
"15","WSSEL","CB",2.40574666245627
"16","WSSEL","GR",2.6289327342703
"17","WSSEL","ML",2.57803925336661
"18","ISEL","PM",0.0109001628317237
"19","ISEL","CB",0.0101885791892954
"20","ISEL","GR",0.00861335168187114
"21","ISEL","ML",0.0106107634664032
"22","SELrank","PM",0.011585798816568
"23","SELrank","CB",0.011585798816568
"24","SELrank","GR",0.0116639053254438
"25","SELrank","ML",0.0115834319526627
