"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0496,-4e-04
"2","PM",0.1,0.104,0.004
"3","PM",0.25,0.2612,0.0112
"4","PM",0.75,0.7104,-0.0396
"5","PM",0.9,0.9428,0.0428
"6","PM",0.95,0.9668,0.0168
"7","CB",0.05,0.0632,0.0132
"8","CB",0.1,0.1216,0.0216
"9","CB",0.25,0.276,0.026
"10","CB",0.75,0.7032,-0.0468
"11","CB",0.9,0.9344,0.0344
"12","CB",0.95,0.96,0.01
"13","GR",0.05,0.0708000000000001,0.0208
"14","GR",0.1,0.1304,0.0304
"15","GR",0.25,0.2704,0.0204
"16","GR",0.75,0.696,-0.054
"17","GR",0.9,0.936,0.036
"18","GR",0.95,0.9644,0.0144
"19","ML",0.05,0.0912,0.0412
"20","ML",0.1,0.1544,0.0544
"21","ML",0.25,0.2804,0.0304
"22","ML",0.75,0.6896,-0.0604
"23","ML",0.9,0.9288,0.0288
"24","ML",0.95,0.956,0.006
