"","quantity","estimator","value"
"1","mean","PM",0.0152989698881923
"2","mean","CB",0.0152989698881923
"3","mean","GR",0.0149770703785947
"4","mean","ML",0.017677116294634
"5","var","PM",0.904314451933287
"6","var","CB",1.02780075222194
"7","var","GR",1.00588470161442
"8","var","ML",1.18572123296482
"9","var","true",1.04165482194342
"10","SSEL","PM",0.126544146728963
"11","SSEL","CB",0.128377103204611
"12","SSEL","GR",0.136315677962866
"13","SSEL","ML",0.153451228129145
"14","WSSEL","PM",3.16360366822407
"15","WSSEL","CB",3.20942758011526
"16","WSSEL","GR",3.40789194907164
"17","WSSEL","ML",3.83628070322863
"18","ISEL","PM",0.011968634073582
"19","ISEL","CB",0.0105961799110494
"20","ISEL","GR",0.00857781444531787
"21","ISEL","ML",0.0114539275209256
"22","SELrank","PM",0.0131668639053254
"23","SELrank","CB",0.0131668639053254
"24","SELrank","GR",0.0132331360946746
"25","SELrank","ML",0.0139337278106509
