"","quantity","estimator","value"
"1","mean","PM",-0.0179727485606677
"2","mean","CB",-0.0179727485606677
"3","mean","GR",-0.0179810514821146
"4","mean","ML",-0.0174582647159749
"5","var","PM",0.860053559395344
"6","var","CB",0.980371457148958
"7","var","GR",0.959298668994333
"8","var","ML",1.13304383921299
"9","var","true",0.994656814478603
"10","SSEL","PM",0.126037238696284
"11","SSEL","CB",0.129117771411375
"12","SSEL","GR",0.14139079796703
"13","SSEL","ML",0.156549719606247
"14","WSSEL","PM",3.1509309674071
"15","WSSEL","CB",3.22794428528438
"16","WSSEL","GR",3.53476994917574
"17","WSSEL","ML",3.91374299015617
"18","ISEL","PM",0.0123792775783003
"19","ISEL","CB",0.0117103540743488
"20","ISEL","GR",0.00920733426398374
"21","ISEL","ML",0.0133814908954756
"22","SELrank","PM",0.0177289940828402
"23","SELrank","CB",0.0177289940828402
"24","SELrank","GR",0.0175550295857988
"25","SELrank","ML",0.0191550295857988
