"","quantity","estimator","value"
"1","mean","PM",-0.0302198425632594
"2","mean","CB",-0.0302198425632594
"3","mean","GR",-0.0301322359306262
"4","mean","ML",-0.0250448989828656
"5","var","PM",0.858761636955024
"6","var","CB",0.977694379523967
"7","var","GR",0.953778978806597
"8","var","ML",1.1346861780963
"9","var","true",0.986938965174317
"10","SSEL","PM",0.128997545075537
"11","SSEL","CB",0.132496838060643
"12","SSEL","GR",0.140062086363616
"13","SSEL","ML",0.161241742128458
"14","WSSEL","PM",3.22493862688843
"15","WSSEL","CB",3.31242095151607
"16","WSSEL","GR",3.50155215909041
"17","WSSEL","ML",4.03104355321145
"18","ISEL","PM",0.0121296957570221
"19","ISEL","CB",0.011187033535344
"20","ISEL","GR",0.00833099323885257
"21","ISEL","ML",0.0122081663870633
"22","SELrank","PM",0.0167633136094675
"23","SELrank","CB",0.0167633136094675
"24","SELrank","GR",0.0168047337278107
"25","SELrank","ML",0.0176698224852071
