"","quantity","estimator","value"
"1","mean","PM",0.0140623887388528
"2","mean","CB",0.0140623887388528
"3","mean","GR",0.0139085056074969
"4","mean","ML",0.0173123909052023
"5","var","PM",0.901003949539106
"6","var","CB",1.01576730206324
"7","var","GR",0.994569204623176
"8","var","ML",1.17104972312624
"9","var","true",1.0158087185168
"10","SSEL","PM",0.118588403066809
"11","SSEL","CB",0.121118528583972
"12","SSEL","GR",0.129400107857178
"13","SSEL","ML",0.155436042076501
"14","WSSEL","PM",2.96471007667022
"15","WSSEL","CB",3.02796321459931
"16","WSSEL","GR",3.23500269642944
"17","WSSEL","ML",3.88590105191252
"18","ISEL","PM",0.0145769661826307
"19","ISEL","CB",0.0136470523817532
"20","ISEL","GR",0.0106535042620857
"21","ISEL","ML",0.0125972266128621
"22","SELrank","PM",0.0181207100591716
"23","SELrank","CB",0.0181207100591716
"24","SELrank","GR",0.0178591715976331
"25","SELrank","ML",0.0190769230769231
