"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.032,-0.018
"2","PM",0.1,0.0688,-0.0312
"3","PM",0.25,0.2092,-0.0408
"4","PM",0.75,0.733600000000001,-0.0164
"5","PM",0.9,0.9416,0.0416
"6","PM",0.95,0.9704,0.0204
"7","CB",0.05,0.0568,0.0068
"8","CB",0.1,0.1076,0.0076
"9","CB",0.25,0.2588,0.0088
"10","CB",0.75,0.718,-0.032
"11","CB",0.9,0.918,0.018
"12","CB",0.95,0.9532,0.0032
"13","GR",0.05,0.0736000000000001,0.0236
"14","GR",0.1,0.1208,0.0208
"15","GR",0.25,0.252,0.002
"16","GR",0.75,0.702,-0.048
"17","GR",0.9,0.9272,0.0272
"18","GR",0.95,0.9576,0.0076
"19","ML",0.05,0.1176,0.0676
"20","ML",0.1,0.1688,0.0688
"21","ML",0.25,0.3024,0.0524
"22","ML",0.75,0.6868,-0.0632
"23","ML",0.9,0.9044,0.0044
"24","ML",0.95,0.9376,-0.0124
