"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.058,0.008
"2","PM",0.1,0.1084,0.0084
"3","PM",0.25,0.2264,-0.0236
"4","PM",0.75,0.7276,-0.0224
"5","PM",0.9,0.962,0.062
"6","PM",0.95,0.9768,0.0268
"7","CB",0.05,0.0972,0.0472
"8","CB",0.1,0.1492,0.0492
"9","CB",0.25,0.2744,0.0244
"10","CB",0.75,0.7008,-0.0492
"11","CB",0.9,0.9448,0.0448
"12","CB",0.95,0.970399999999999,0.0204
"13","GR",0.05,0.102,0.052
"14","GR",0.1,0.1472,0.0472
"15","GR",0.25,0.2588,0.0088
"16","GR",0.75,0.7,-0.05
"17","GR",0.9,0.949199999999999,0.0492
"18","GR",0.95,0.9704,0.0204
"19","ML",0.05,0.1484,0.0984
"20","ML",0.1,0.2,0.1
"21","ML",0.25,0.3104,0.0604
"22","ML",0.75,0.672,-0.078
"23","ML",0.9,0.9192,0.0192
"24","ML",0.95,0.954,0.004
