"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,4e-04,0,0.0012
"[-5.04,-4.8)",0,4e-04,0,0
"[-4.8,-4.56)",4e-04,0,8e-04,0
"[-4.56,-4.32)",4e-04,4e-04,0,8e-04
"[-4.32,-4.08)",0,8e-04,0,0
"[-4.08,-3.84)",4e-04,8e-04,4e-04,8e-04
"[-3.84,-3.6)",8e-04,8e-04,8e-04,4e-04
"[-3.6,-3.36)",0,4e-04,4e-04,0.0024
"[-3.36,-3.12)",0.0016,0.0012,0.0016,0.0032
"[-3.12,-2.88)",4e-04,0.0024,0.0012,0.0036
"[-2.88,-2.64)",0.002,0.0016,8e-04,0.0052
"[-2.64,-2.4)",0.0024,0.0052,0.0048,0.0088
"[-2.4,-2.16)",0.0028,0.0064,0.006,0.0124
"[-2.16,-1.92)",0.0056,0.006,0.0076,0.012
"[-1.92,-1.68)",0.008,0.01,0.0132,0.0184
"[-1.68,-1.44)",0.0104,0.0184,0.0208,0.0264
"[-1.44,-1.2)",0.0208,0.0264,0.0244,0.0352
"[-1.2,-0.96)",0.0324,0.0412,0.042,0.0428
"[-0.96,-0.72)",0.0512,0.0508,0.0568,0.0556
"[-0.72,-0.48)",0.076,0.0828,0.082,0.0788
"[-0.48,-0.24)",0.1112,0.0976,0.1004,0.0896
"[-0.24,0)",0.1544,0.1256,0.1252,0.09
"[0,0.24)",0.1552,0.1348,0.1192,0.0972
"[0.24,0.48)",0.1252,0.1088,0.108,0.0876
"[0.48,0.72)",0.092,0.0848,0.0856,0.0724
"[0.72,0.96)",0.0512,0.0664,0.0644,0.0684
"[0.96,1.2)",0.0388,0.0376,0.044,0.05
"[1.2,1.44)",0.0204,0.03,0.0304,0.0356
"[1.44,1.68)",0.0116,0.0216,0.0224,0.032
"[1.68,1.92)",0.0084,0.0136,0.0124,0.022
"[1.92,2.16)",0.0036,0.0048,0.0096,0.0148
"[2.16,2.4)",0.0048,0.004,0.0056,0.0108
"[2.4,2.64)",0.004,0.0052,0.0028,0.0044
"[2.64,2.88)",8e-04,0.0032,0.0024,0.004
"[2.88,3.12)",8e-04,0.002,0.002,0.0044
"[3.12,3.36)",4e-04,0.0012,4e-04,0.0052
"[3.36,3.6)",0,0,0,8e-04
"[3.6,3.84)",0.0012,8e-04,0.0012,8e-04
"[3.84,4.08)",0,4e-04,0,0.0012
"[4.08,4.32)",4e-04,8e-04,4e-04,4e-04
"[4.32,4.56)",0,0,0,4e-04
"[4.56,4.8)",0,4e-04,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
