"","quantity","estimator","value"
"1","mean","PM",0.0178282053886941
"2","mean","CB",0.0178282053886941
"3","mean","GR",0.0179683847714482
"4","mean","ML",0.0275019111408823
"5","var","PM",0.704268355355023
"6","var","CB",0.992589432481914
"7","var","GR",0.961967499827022
"8","var","ML",1.50631284620138
"9","var","true",0.968235601926628
"10","SSEL","PM",0.293704066481334
"11","SSEL","CB",0.314238882120615
"12","SSEL","GR",0.342377175327946
"13","SSEL","ML",0.504134332904169
"14","WSSEL","PM",7.34260166203336
"15","WSSEL","CB",7.85597205301538
"16","WSSEL","GR",8.55942938319866
"17","WSSEL","ML",12.6033583226042
"18","ISEL","PM",0.0285787024088222
"19","ISEL","CB",0.0227334950057626
"20","ISEL","GR",0.0225006177051805
"21","ISEL","ML",0.0302150032528774
"22","SELrank","PM",0.0355526627218935
"23","SELrank","CB",0.0355526627218935
"24","SELrank","GR",0.0353443786982248
"25","SELrank","ML",0.0378639053254438
