"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,4e-04
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,8e-04
"[-4.8,-4.56)",0,0,0,0.0012
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,4e-04,0,0.0012
"[-4.08,-3.84)",0,0,0,8e-04
"[-3.84,-3.6)",4e-04,0,4e-04,0.0024
"[-3.6,-3.36)",0,0.0012,0,0.0032
"[-3.36,-3.12)",0,4e-04,0.0012,0.0032
"[-3.12,-2.88)",0.0012,0.0016,0.0012,0.006
"[-2.88,-2.64)",0.0012,0.0024,0.0012,0.0104
"[-2.64,-2.4)",0.0016,0.004,0.0044,0.008
"[-2.4,-2.16)",0.0032,0.0064,0.006,0.0164
"[-2.16,-1.92)",0.0048,0.01,0.0124,0.0184
"[-1.92,-1.68)",0.012,0.0204,0.02,0.0304
"[-1.68,-1.44)",0.0212,0.03,0.0304,0.036
"[-1.44,-1.2)",0.0304,0.04,0.0368,0.0324
"[-1.2,-0.96)",0.0472,0.0508,0.0536,0.0536
"[-0.96,-0.72)",0.07,0.0704,0.0684,0.0628
"[-0.72,-0.48)",0.088,0.0856,0.0832,0.0624
"[-0.48,-0.24)",0.1068,0.082,0.0888,0.0724
"[-0.24,0)",0.1012,0.084,0.0912,0.0736
"[0,0.24)",0.1116,0.0948,0.0856,0.0756
"[0.24,0.48)",0.1044,0.0836,0.0832,0.0696
"[0.48,0.72)",0.0944,0.0924,0.0812,0.0756
"[0.72,0.96)",0.0708,0.0652,0.0704,0.054
"[0.96,1.2)",0.0508,0.0516,0.0588,0.0592
"[1.2,1.44)",0.0308,0.0428,0.0436,0.0404
"[1.44,1.68)",0.0244,0.0292,0.0316,0.0372
"[1.68,1.92)",0.0148,0.0204,0.0244,0.03
"[1.92,2.16)",0.0056,0.0168,0.0132,0.02
"[2.16,2.4)",0.0012,0.0064,0.0052,0.0132
"[2.4,2.64)",0.0012,0.004,0.002,0.0112
"[2.64,2.88)",4e-04,0.0016,0.0012,0.004
"[2.88,3.12)",0,8e-04,0,0.0056
"[3.12,3.36)",0,4e-04,0,0.0032
"[3.36,3.6)",0,0,0,8e-04
"[3.6,3.84)",0,0,0,8e-04
"[3.84,4.08)",4e-04,0,4e-04,8e-04
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,4e-04,0,0.0016
"[4.56,4.8)",0,0,0,8e-04
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,4e-04
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
