"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,4e-04,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",4e-04,4e-04,4e-04,0.0016
"[-5.04,-4.8)",0,8e-04,0,0
"[-4.8,-4.56)",8e-04,0,8e-04,8e-04
"[-4.56,-4.32)",0,0,4e-04,4e-04
"[-4.32,-4.08)",4e-04,0,0,8e-04
"[-4.08,-3.84)",0,4e-04,0,0
"[-3.84,-3.6)",0,8e-04,4e-04,8e-04
"[-3.6,-3.36)",4e-04,8e-04,0,0.002
"[-3.36,-3.12)",8e-04,4e-04,8e-04,0.002
"[-3.12,-2.88)",8e-04,0.0024,0.0012,0.0084
"[-2.88,-2.64)",8e-04,0.0036,0.002,0.0068
"[-2.64,-2.4)",0.0024,0.0012,0.0044,0.0084
"[-2.4,-2.16)",0.0028,0.006,0.0064,0.0164
"[-2.16,-1.92)",0.0036,0.0112,0.0092,0.0148
"[-1.92,-1.68)",0.0116,0.0148,0.016,0.0208
"[-1.68,-1.44)",0.0156,0.0184,0.02,0.028
"[-1.44,-1.2)",0.0176,0.028,0.032,0.0368
"[-1.2,-0.96)",0.0372,0.0432,0.0432,0.0452
"[-0.96,-0.72)",0.0504,0.0548,0.0612,0.06
"[-0.72,-0.48)",0.0796,0.0848,0.0816,0.0696
"[-0.48,-0.24)",0.1196,0.102,0.0984,0.0824
"[-0.24,0)",0.146,0.1156,0.1152,0.0856
"[0,0.24)",0.146,0.124,0.1144,0.0924
"[0.24,0.48)",0.1356,0.1124,0.1068,0.0808
"[0.48,0.72)",0.0768,0.0824,0.08,0.0728
"[0.72,0.96)",0.0572,0.0548,0.0612,0.062
"[0.96,1.2)",0.038,0.0456,0.05,0.0496
"[1.2,1.44)",0.0216,0.0336,0.0344,0.0416
"[1.44,1.68)",0.0112,0.0208,0.0236,0.0264
"[1.68,1.92)",0.0084,0.01,0.0132,0.0232
"[1.92,2.16)",0.004,0.0092,0.008,0.0104
"[2.16,2.4)",0.0048,0.0044,0.0056,0.0116
"[2.4,2.64)",8e-04,0.0036,0.0032,0.012
"[2.64,2.88)",0.0012,0.0024,0.0012,0.0088
"[2.88,3.12)",0,0.0024,4e-04,0.004
"[3.12,3.36)",4e-04,8e-04,0.0012,0.0032
"[3.36,3.6)",0.0012,0,8e-04,8e-04
"[3.6,3.84)",8e-04,0,8e-04,0.0036
"[3.84,4.08)",0,0.0016,4e-04,0.0028
"[4.08,4.32)",4e-04,8e-04,4e-04,0
"[4.32,4.56)",0,0,0,0.0012
"[4.56,4.8)",8e-04,4e-04,8e-04,4e-04
"[4.8,5.04)",0,4e-04,0,4e-04
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,4e-04,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
