"","quantity","estimator","value"
"1","mean","PM",0.0264349585327938
"2","mean","CB",0.0264349585327938
"3","mean","GR",0.0264383760965655
"4","mean","ML",0.0268344167707146
"5","var","PM",0.47558384330154
"6","var","CB",0.943540761433899
"7","var","GR",0.902089319951502
"8","var","ML",2.04709216655055
"9","var","true",0.990334191732505
"10","SSEL","PM",0.59394029135616
"11","SSEL","CB",0.63010382084979
"12","SSEL","GR",0.639429998938276
"13","SSEL","ML",1.04695997288323
"14","WSSEL","PM",14.848507283904
"15","WSSEL","CB",15.7525955212447
"16","WSSEL","GR",15.9857499734569
"17","WSSEL","ML",26.1739993220807
"18","ISEL","PM",0.0736613682503161
"19","ISEL","CB",0.039493956204157
"20","ISEL","GR",0.0373121569890802
"21","ISEL","ML",0.0522814223378692
"22","SELrank","PM",0.0526248520710059
"23","SELrank","CB",0.0526248520710059
"24","SELrank","GR",0.0525183431952663
"25","SELrank","ML",0.0524520710059172
