"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,4e-04
"[-4.56,-4.32)",0,0,0,0.0012
"[-4.32,-4.08)",0,0,0,0.0012
"[-4.08,-3.84)",0,4e-04,4e-04,0.002
"[-3.84,-3.6)",0,4e-04,0,0.0024
"[-3.6,-3.36)",0,0.002,8e-04,0.0028
"[-3.36,-3.12)",4e-04,0.002,0.0012,0.0052
"[-3.12,-2.88)",0.0012,0.0016,0.0012,0.0064
"[-2.88,-2.64)",0.0016,0.002,0.0036,0.0108
"[-2.64,-2.4)",0.002,0.0028,0.004,0.0092
"[-2.4,-2.16)",0.0016,0.0092,0.0072,0.0172
"[-2.16,-1.92)",0.0032,0.0116,0.0116,0.0192
"[-1.92,-1.68)",0.0044,0.0136,0.0168,0.03
"[-1.68,-1.44)",0.0132,0.0272,0.0252,0.0336
"[-1.44,-1.2)",0.024,0.0332,0.0392,0.0476
"[-1.2,-0.96)",0.0336,0.048,0.046,0.0512
"[-0.96,-0.72)",0.062,0.0724,0.0644,0.0636
"[-0.72,-0.48)",0.0844,0.0764,0.08,0.0656
"[-0.48,-0.24)",0.126,0.1028,0.1,0.0728
"[-0.24,0)",0.1652,0.104,0.1128,0.0644
"[0,0.24)",0.1548,0.1148,0.1064,0.0788
"[0.24,0.48)",0.1176,0.0892,0.096,0.0616
"[0.48,0.72)",0.0728,0.0816,0.0808,0.0644
"[0.72,0.96)",0.0516,0.0604,0.0572,0.0576
"[0.96,1.2)",0.0356,0.04,0.0448,0.0528
"[1.2,1.44)",0.0184,0.0344,0.0304,0.0376
"[1.44,1.68)",0.0096,0.0244,0.0252,0.0328
"[1.68,1.92)",0.0064,0.0136,0.0136,0.0284
"[1.92,2.16)",0.0052,0.0132,0.0136,0.022
"[2.16,2.4)",0.002,0.0072,0.0056,0.0136
"[2.4,2.64)",0,0.0032,0.0044,0.0144
"[2.64,2.88)",0,0.0036,0.0032,0.0076
"[2.88,3.12)",8e-04,8e-04,0.0016,0.008
"[3.12,3.36)",4e-04,4e-04,4e-04,0.004
"[3.36,3.6)",4e-04,8e-04,0,0.0044
"[3.6,3.84)",0,0,0.0012,8e-04
"[3.84,4.08)",4e-04,8e-04,0,0.0012
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",4e-04,4e-04,0,4e-04
"[4.56,4.8)",0,4e-04,0,8e-04
"[4.8,5.04)",4e-04,4e-04,8e-04,4e-04
"[5.04,5.28)",0,0,0,4e-04
"[5.28,5.52)",0,0,0,4e-04
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,4e-04,0,0
