"","quantity","estimator","value"
"1","mean","PM",-0.0219433498723885
"2","mean","CB",-0.0219433498723885
"3","mean","GR",-0.0220028831414507
"4","mean","ML",-0.0181432312319549
"5","var","PM",0.487053039114984
"6","var","CB",0.987982247406722
"7","var","GR",0.943430313605509
"8","var","ML",1.94613226579221
"9","var","true",0.967765415924694
"10","SSEL","PM",0.539073936012703
"11","SSEL","CB",0.613870662888978
"12","SSEL","GR",0.608461878051493
"13","SSEL","ML",1.00091051609243
"14","WSSEL","PM",13.4768484003176
"15","WSSEL","CB",15.3467665722244
"16","WSSEL","GR",15.2115469512873
"17","WSSEL","ML",25.0227629023108
"18","ISEL","PM",0.0618977824192512
"19","ISEL","CB",0.0422340722390591
"20","ISEL","GR",0.0338275685446017
"21","ISEL","ML",0.0574717777697018
"22","SELrank","PM",0.0553479289940828
"23","SELrank","CB",0.0553479289940828
"24","SELrank","GR",0.0553408284023669
"25","SELrank","ML",0.0557455621301775
