"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.03,-0.02
"2","PM",0.1,0.0548,-0.0452
"3","PM",0.25,0.1144,-0.1356
"4","PM",0.75,0.7688,0.0188
"5","PM",0.9,0.9808,0.0808
"6","PM",0.95,0.9896,0.0396
"7","CB",0.05,0.0740000000000001,0.024
"8","CB",0.1,0.1084,0.0084
"9","CB",0.25,0.2048,-0.0452
"10","CB",0.75,0.6992,-0.0508
"11","CB",0.9,0.948,0.048
"12","CB",0.95,0.9704,0.0204
"13","GR",0.05,0.076,0.026
"14","GR",0.1,0.108,0.008
"15","GR",0.25,0.1864,-0.0636
"16","GR",0.75,0.7108,-0.0392
"17","GR",0.9,0.953199999999999,0.0532
"18","GR",0.95,0.9712,0.0212
"19","ML",0.05,0.19,0.14
"20","ML",0.1,0.232,0.132
"21","ML",0.25,0.3232,0.0732
"22","ML",0.75,0.6276,-0.1224
"23","ML",0.9,0.8772,-0.0228
"24","ML",0.95,0.9184,-0.0316
