"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,4e-04
"[-5.76,-5.52)",0,0,0,4e-04
"[-5.52,-5.28)",0,0,0,8e-04
"[-5.28,-5.04)",0,0,0,8e-04
"[-5.04,-4.8)",0,0,0,8e-04
"[-4.8,-4.56)",0,0,0,0.0016
"[-4.56,-4.32)",0,0,0,8e-04
"[-4.32,-4.08)",0,0,0,8e-04
"[-4.08,-3.84)",0,0,0,0.0024
"[-3.84,-3.6)",0,4e-04,0,0.0036
"[-3.6,-3.36)",0,4e-04,4e-04,0.0028
"[-3.36,-3.12)",0,8e-04,4e-04,0.0076
"[-3.12,-2.88)",0,0,8e-04,0.0068
"[-2.88,-2.64)",8e-04,0.002,0.004,0.012
"[-2.64,-2.4)",4e-04,0.0036,0.004,0.0116
"[-2.4,-2.16)",0.0012,0.0068,0.0076,0.0168
"[-2.16,-1.92)",0.0024,0.0076,0.0136,0.0228
"[-1.92,-1.68)",0.0064,0.0168,0.0164,0.0328
"[-1.68,-1.44)",0.0092,0.0316,0.0256,0.0416
"[-1.44,-1.2)",0.0228,0.0352,0.036,0.05
"[-1.2,-0.96)",0.0376,0.0608,0.0488,0.0472
"[-0.96,-0.72)",0.0716,0.064,0.0652,0.0592
"[-0.72,-0.48)",0.086,0.096,0.086,0.0724
"[-0.48,-0.24)",0.1496,0.1048,0.104,0.0644
"[-0.24,0)",0.1536,0.1072,0.1128,0.0788
"[0,0.24)",0.1428,0.1044,0.1024,0.0592
"[0.24,0.48)",0.1084,0.0864,0.0912,0.0564
"[0.48,0.72)",0.0676,0.0656,0.0704,0.0428
"[0.72,0.96)",0.0408,0.0544,0.052,0.0432
"[0.96,1.2)",0.0276,0.0348,0.0428,0.0492
"[1.2,1.44)",0.0256,0.0272,0.0296,0.03
"[1.44,1.68)",0.0128,0.0208,0.0272,0.0312
"[1.68,1.92)",0.0124,0.0152,0.0168,0.0304
"[1.92,2.16)",0.0096,0.016,0.012,0.0272
"[2.16,2.4)",0.004,0.0104,0.0136,0.0192
"[2.4,2.64)",0.0036,0.0084,0.006,0.016
"[2.64,2.88)",0.0024,0.008,0.004,0.0124
"[2.88,3.12)",4e-04,0.006,0.0032,0.012
"[3.12,3.36)",4e-04,0.0016,0.0024,0.006
"[3.36,3.6)",0,0.002,8e-04,0.0064
"[3.6,3.84)",0,0,0,0.0056
"[3.84,4.08)",0,8e-04,0,0.0024
"[4.08,4.32)",0,0,0,0.0016
"[4.32,4.56)",0,0,0,0.0024
"[4.56,4.8)",0,0,0,0.0016
"[4.8,5.04)",0,0,0,8e-04
"[5.04,5.28)",0,0,0,0.0012
"[5.28,5.52)",0,0,0,8e-04
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
