"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,4e-04
"[-5.76,-5.52)",0,0,0,8e-04
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,4e-04
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,4e-04
"[-4.56,-4.32)",0,0,0,0.0024
"[-4.32,-4.08)",0,0,0,0.0028
"[-4.08,-3.84)",0,0,0,0.0012
"[-3.84,-3.6)",0,4e-04,4e-04,0.0056
"[-3.6,-3.36)",0,0,0,0.004
"[-3.36,-3.12)",0,0.0012,0,0.004
"[-3.12,-2.88)",0,4e-04,0.0012,0.0056
"[-2.88,-2.64)",0.0012,0.0024,0.0032,0.0132
"[-2.64,-2.4)",4e-04,0.0028,0.0012,0.0108
"[-2.4,-2.16)",0.0012,0.0064,0.0096,0.016
"[-2.16,-1.92)",0.002,0.0112,0.0128,0.026
"[-1.92,-1.68)",0.0044,0.0188,0.0132,0.0364
"[-1.68,-1.44)",0.0124,0.0228,0.0272,0.0368
"[-1.44,-1.2)",0.0216,0.0304,0.0328,0.0392
"[-1.2,-0.96)",0.032,0.0528,0.0448,0.0528
"[-0.96,-0.72)",0.0576,0.074,0.0648,0.0648
"[-0.72,-0.48)",0.0984,0.0848,0.0896,0.0616
"[-0.48,-0.24)",0.1492,0.1124,0.1092,0.0732
"[-0.24,0)",0.1692,0.1076,0.124,0.0588
"[0,0.24)",0.1468,0.1112,0.1088,0.0648
"[0.24,0.48)",0.1052,0.0908,0.0852,0.0632
"[0.48,0.72)",0.0688,0.0788,0.0712,0.0604
"[0.72,0.96)",0.0476,0.048,0.0572,0.048
"[0.96,1.2)",0.0268,0.0376,0.04,0.0372
"[1.2,1.44)",0.0236,0.0312,0.0336,0.046
"[1.44,1.68)",0.014,0.0224,0.0224,0.0376
"[1.68,1.92)",0.0092,0.0184,0.0172,0.0252
"[1.92,2.16)",0.0032,0.0088,0.0104,0.0196
"[2.16,2.4)",0.002,0.0136,0.008,0.0152
"[2.4,2.64)",8e-04,0.0028,0.0064,0.0148
"[2.64,2.88)",8e-04,0.0032,0.0028,0.0108
"[2.88,3.12)",0,4e-04,8e-04,0.0092
"[3.12,3.36)",4e-04,0.0012,8e-04,0.0072
"[3.36,3.6)",8e-04,0.0016,4e-04,0.0036
"[3.6,3.84)",0,0,4e-04,0.002
"[3.84,4.08)",0,0,0,0.0024
"[4.08,4.32)",4e-04,0.0012,4e-04,0.0048
"[4.32,4.56)",0,0,0,0.0032
"[4.56,4.8)",0,0,0,0.0024
"[4.8,5.04)",0,0,0,0.002
"[5.04,5.28)",0,0,0,0.0012
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,4e-04,0,0
"[5.76,6)",0,0,0,8e-04
