"","quantity","estimator","value"
"1","mean","PM",-0.023632429198694
"2","mean","CB",-0.023632429198694
"3","mean","GR",-0.0236083803214505
"4","mean","ML",-0.0147352488547596
"5","var","PM",0.449117318678207
"6","var","CB",0.93812180441859
"7","var","GR",0.896003440840117
"8","var","ML",2.48911959941225
"9","var","true",0.995201083909381
"10","SSEL","PM",0.56894801655566
"11","SSEL","CB",0.62586757100243
"12","SSEL","GR",0.650656358207712
"13","SSEL","ML",1.52078737855489
"14","WSSEL","PM",14.2237004138915
"15","WSSEL","CB",15.6466892750608
"16","WSSEL","GR",16.2664089551928
"17","WSSEL","ML",38.0196844638723
"18","ISEL","PM",0.0664665341432475
"19","ISEL","CB",0.0377431234588249
"20","ISEL","GR",0.0338805297033459
"21","ISEL","ML",0.0637284209986638
"22","SELrank","PM",0.0558745562130178
"23","SELrank","CB",0.0558745562130178
"24","SELrank","GR",0.0558047337278107
"25","SELrank","ML",0.0618082840236686
