"","quantity","estimator","value"
"1","mean","PM",-0.0716443912811051
"2","mean","CB",-0.0716443912811051
"3","mean","GR",-0.071815042728304
"4","mean","ML",-0.0397492235997463
"5","var","PM",0.547257056503929
"6","var","CB",1.06866185804214
"7","var","GR",1.01977585049369
"8","var","ML",3.31657875135955
"9","var","true",1.1185165045164
"10","SSEL","PM",0.576456623624031
"11","SSEL","CB",0.629530111584478
"12","SSEL","GR",0.676171104143189
"13","SSEL","ML",2.25138233971964
"14","WSSEL","PM",14.4114155906008
"15","WSSEL","CB",15.738252789612
"16","WSSEL","GR",16.9042776035797
"17","WSSEL","ML",56.2845584929909
"18","ISEL","PM",0.0524777814981867
"19","ISEL","CB",0.0313993721972193
"20","ISEL","GR",0.029371286066982
"21","ISEL","ML",0.0790381760948368
"22","SELrank","PM",0.0550461538461538
"23","SELrank","CB",0.0550461538461538
"24","SELrank","GR",0.0550295857988166
"25","SELrank","ML",0.0665715976331361
