"","quantity","estimator","value"
"1","mean","PM",0.00624027260930656
"2","mean","CB",0.00624027260930657
"3","mean","GR",0.00608385893733999
"4","mean","ML",-0.00364484675077143
"5","var","PM",0.412146178287107
"6","var","CB",0.900680727300486
"7","var","GR",0.834657344161865
"8","var","ML",3.19091944444341
"9","var","true",0.941589006317913
"10","SSEL","PM",0.529254175615802
"11","SSEL","CB",0.599259599178442
"12","SSEL","GR",0.614837888672295
"13","SSEL","ML",2.26510089587588
"14","WSSEL","PM",13.231354390395
"15","WSSEL","CB",14.981489979461
"16","WSSEL","GR",15.3709472168074
"17","WSSEL","ML",56.627522396897
"18","ISEL","PM",0.0552347969913818
"19","ISEL","CB",0.0338604644118971
"20","ISEL","GR",0.0258597177788356
"21","ISEL","ML",0.080080290455667
"22","SELrank","PM",0.0582532544378698
"23","SELrank","CB",0.0582532544378698
"24","SELrank","GR",0.0578816568047337
"25","SELrank","ML",0.0694994082840237
