"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0284,-0.0216
"2","PM",0.1,0.0492,-0.0508
"3","PM",0.25,0.1476,-0.1024
"4","PM",0.75,0.762,0.012
"5","PM",0.9,0.9696,0.0696
"6","PM",0.95,0.986,0.036
"7","CB",0.05,0.0804,0.0304
"8","CB",0.1,0.1324,0.0324
"9","CB",0.25,0.2404,-0.0096
"10","CB",0.75,0.704,-0.046
"11","CB",0.9,0.9316,0.0316
"12","CB",0.95,0.9516,0.0016
"13","GR",0.05,0.0928,0.0428
"14","GR",0.1,0.1328,0.0328
"15","GR",0.25,0.2372,-0.0128
"16","GR",0.75,0.6916,-0.0584
"17","GR",0.9,0.9396,0.0396
"18","GR",0.95,0.9676,0.0176
"19","ML",0.05,0.1984,0.1484
"20","ML",0.1,0.2432,0.1432
"21","ML",0.25,0.3356,0.0856
"22","ML",0.75,0.6372,-0.1128
"23","ML",0.9,0.8444,-0.0556
"24","ML",0.95,0.883600000000001,-0.0664
