"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0376,-0.0124
"2","PM",0.1,0.0784,-0.0216
"3","PM",0.25,0.1868,-0.0632
"4","PM",0.75,0.7484,-0.0016
"5","PM",0.9,0.9696,0.0696
"6","PM",0.95,0.9852,0.0352
"7","CB",0.05,0.1172,0.0672
"8","CB",0.1,0.1624,0.0624
"9","CB",0.25,0.278,0.028
"10","CB",0.75,0.6988,-0.0512
"11","CB",0.9,0.9328,0.0328
"12","CB",0.95,0.9552,0.0052
"13","GR",0.05,0.106,0.056
"14","GR",0.1,0.1572,0.0572
"15","GR",0.25,0.2764,0.0264
"16","GR",0.75,0.6984,-0.0516
"17","GR",0.9,0.9324,0.0324
"18","GR",0.95,0.9628,0.0128
"19","ML",0.05,0.2124,0.1624
"20","ML",0.1,0.2576,0.1576
"21","ML",0.25,0.3512,0.1012
"22","ML",0.75,0.6248,-0.1252
"23","ML",0.9,0.8456,-0.0544
"24","ML",0.95,0.8856,-0.0644
