"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,4e-04,0,0.0096
"[-5.76,-5.52)",0,4e-04,4e-04,0.0064
"[-5.52,-5.28)",0,4e-04,4e-04,0.006
"[-5.28,-5.04)",0,0,4e-04,0.0072
"[-5.04,-4.8)",0,0,0,0.008
"[-4.8,-4.56)",0,8e-04,0.0012,0.0088
"[-4.56,-4.32)",0,0.0012,8e-04,0.0108
"[-4.32,-4.08)",0,4e-04,4e-04,0.0112
"[-4.08,-3.84)",0,4e-04,0.0012,0.0176
"[-3.84,-3.6)",0,0.0012,0.0028,0.014
"[-3.6,-3.36)",4e-04,0.0016,0.0012,0.018
"[-3.36,-3.12)",4e-04,0.0056,0.0036,0.018
"[-3.12,-2.88)",0,0.0052,0.004,0.0204
"[-2.88,-2.64)",4e-04,0.0092,0.0076,0.0184
"[-2.64,-2.4)",0,0.0068,0.0072,0.0212
"[-2.4,-2.16)",4e-04,0.0136,0.0112,0.0216
"[-2.16,-1.92)",0.0016,0.0192,0.0128,0.0236
"[-1.92,-1.68)",0.0024,0.024,0.0196,0.0272
"[-1.68,-1.44)",0.0116,0.0316,0.024,0.0212
"[-1.44,-1.2)",0.028,0.0396,0.04,0.034
"[-1.2,-0.96)",0.0376,0.046,0.0456,0.0316
"[-0.96,-0.72)",0.0568,0.0572,0.0584,0.0208
"[-0.72,-0.48)",0.0708,0.0652,0.0692,0.0292
"[-0.48,-0.24)",0.116,0.0716,0.078,0.0248
"[-0.24,0)",0.1244,0.0864,0.086,0.026
"[0,0.24)",0.1352,0.0692,0.0876,0.0316
"[0.24,0.48)",0.1416,0.0752,0.084,0.024
"[0.48,0.72)",0.1196,0.0628,0.0772,0.0284
"[0.72,0.96)",0.064,0.0636,0.0652,0.0284
"[0.96,1.2)",0.042,0.0596,0.0552,0.028
"[1.2,1.44)",0.0212,0.0408,0.0396,0.0284
"[1.44,1.68)",0.0084,0.0316,0.0332,0.0236
"[1.68,1.92)",0.0092,0.0264,0.0164,0.022
"[1.92,2.16)",0.002,0.0272,0.0188,0.024
"[2.16,2.4)",0.0016,0.0168,0.012,0.0324
"[2.4,2.64)",8e-04,0.014,0.0056,0.0184
"[2.64,2.88)",0.0016,0.0052,0.0088,0.0184
"[2.88,3.12)",4e-04,0.0044,0.0044,0.02
"[3.12,3.36)",0,0.004,0.006,0.0208
"[3.36,3.6)",4e-04,0.004,0.002,0.016
"[3.6,3.84)",4e-04,0.0016,0.0012,0.0168
"[3.84,4.08)",0,0,8e-04,0.0168
"[4.08,4.32)",0,0.0012,0.002,0.014
"[4.32,4.56)",4e-04,4e-04,8e-04,0.0112
"[4.56,4.8)",4e-04,4e-04,0,0.0108
"[4.8,5.04)",0,4e-04,8e-04,0.0116
"[5.04,5.28)",0,4e-04,4e-04,0.0092
"[5.28,5.52)",0,8e-04,0.0012,0.0052
"[5.52,5.76)",0,0,0,0.0072
"[5.76,6)",0,4e-04,4e-04,0.0084
