"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,4e-04,8e-04,0.0056
"[-5.76,-5.52)",0,4e-04,8e-04,0.0072
"[-5.52,-5.28)",4e-04,8e-04,8e-04,0.008
"[-5.28,-5.04)",0,0,0,0.0108
"[-5.04,-4.8)",0,0.0012,0.0024,0.0068
"[-4.8,-4.56)",4e-04,0.002,0.0016,0.01
"[-4.56,-4.32)",4e-04,0.0024,0.0028,0.0132
"[-4.32,-4.08)",0,0.0048,0.004,0.0116
"[-4.08,-3.84)",4e-04,0.0032,0.006,0.0152
"[-3.84,-3.6)",4e-04,0.0064,0.0056,0.0188
"[-3.6,-3.36)",0,0.01,0.01,0.0148
"[-3.36,-3.12)",4e-04,0.0112,0.0104,0.0196
"[-3.12,-2.88)",0.0012,0.0092,0.0116,0.0164
"[-2.88,-2.64)",0.002,0.0192,0.0156,0.0216
"[-2.64,-2.4)",0.0056,0.0212,0.0204,0.0292
"[-2.4,-2.16)",0.01,0.0244,0.0196,0.0256
"[-2.16,-1.92)",0.018,0.0312,0.0256,0.026
"[-1.92,-1.68)",0.0184,0.038,0.0328,0.0204
"[-1.68,-1.44)",0.0288,0.0328,0.0336,0.0284
"[-1.44,-1.2)",0.0432,0.05,0.0424,0.0288
"[-1.2,-0.96)",0.0568,0.0448,0.044,0.0244
"[-0.96,-0.72)",0.0692,0.05,0.05,0.0256
"[-0.72,-0.48)",0.0776,0.0496,0.0524,0.0296
"[-0.48,-0.24)",0.0908,0.0464,0.0572,0.0332
"[-0.24,0)",0.0952,0.0472,0.0576,0.0292
"[0,0.24)",0.0848,0.0548,0.0596,0.0276
"[0.24,0.48)",0.0744,0.0472,0.0524,0.0236
"[0.48,0.72)",0.0824,0.0464,0.0524,0.0248
"[0.72,0.96)",0.0692,0.0424,0.0512,0.0236
"[0.96,1.2)",0.0568,0.0392,0.046,0.0216
"[1.2,1.44)",0.048,0.044,0.0372,0.0252
"[1.44,1.68)",0.0284,0.0384,0.0352,0.0232
"[1.68,1.92)",0.0164,0.0372,0.0304,0.0228
"[1.92,2.16)",0.0116,0.0312,0.0232,0.024
"[2.16,2.4)",0.0044,0.0248,0.0208,0.0276
"[2.4,2.64)",0.0032,0.018,0.0156,0.0212
"[2.64,2.88)",4e-04,0.0192,0.0156,0.022
"[2.88,3.12)",0,0.012,0.012,0.0216
"[3.12,3.36)",0,0.0084,0.01,0.0188
"[3.36,3.6)",0,0.0072,0.0084,0.0176
"[3.6,3.84)",0,0.0072,0.0064,0.0136
"[3.84,4.08)",4e-04,0.0056,0.0024,0.0176
"[4.08,4.32)",4e-04,0.0028,0.0036,0.0124
"[4.32,4.56)",0,0.0024,0.0036,0.0104
"[4.56,4.8)",0,0.0012,0.002,0.0116
"[4.8,5.04)",0,0,0.0016,0.0112
"[5.04,5.28)",0,8e-04,4e-04,0.012
"[5.28,5.52)",0,0,4e-04,0.0084
"[5.52,5.76)",0,0,0,0.006
"[5.76,6)",0,0,0,0.006
