"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,4e-04,4e-04,0.008
"[-5.76,-5.52)",0,0,8e-04,0.0104
"[-5.52,-5.28)",0,4e-04,4e-04,0.0072
"[-5.28,-5.04)",0,4e-04,0,0.0068
"[-5.04,-4.8)",0,0,8e-04,0.0128
"[-4.8,-4.56)",0,0.0016,0.0016,0.0108
"[-4.56,-4.32)",0,8e-04,0.0012,0.0112
"[-4.32,-4.08)",0,8e-04,4e-04,0.0136
"[-4.08,-3.84)",0,0.0024,0.0024,0.0136
"[-3.84,-3.6)",4e-04,0.0028,0.0036,0.0112
"[-3.6,-3.36)",8e-04,0.0048,0.0028,0.0176
"[-3.36,-3.12)",4e-04,0.0072,0.004,0.016
"[-3.12,-2.88)",0,0.0036,0.0056,0.0192
"[-2.88,-2.64)",0.002,0.0076,0.006,0.0224
"[-2.64,-2.4)",4e-04,0.0104,0.008,0.0156
"[-2.4,-2.16)",0.0052,0.0188,0.0152,0.0272
"[-2.16,-1.92)",0.0064,0.022,0.0168,0.0268
"[-1.92,-1.68)",0.0116,0.0288,0.0232,0.0256
"[-1.68,-1.44)",0.0068,0.034,0.0332,0.0288
"[-1.44,-1.2)",0.024,0.0456,0.0432,0.0304
"[-1.2,-0.96)",0.0548,0.0544,0.0532,0.0324
"[-0.96,-0.72)",0.0904,0.064,0.0672,0.024
"[-0.72,-0.48)",0.1136,0.0688,0.0724,0.032
"[-0.48,-0.24)",0.1176,0.0768,0.0768,0.0276
"[-0.24,0)",0.108,0.0696,0.0824,0.0308
"[0,0.24)",0.1152,0.0684,0.0828,0.0248
"[0.24,0.48)",0.1004,0.062,0.0728,0.0296
"[0.48,0.72)",0.0744,0.0612,0.0688,0.0208
"[0.72,0.96)",0.0552,0.0616,0.0568,0.0328
"[0.96,1.2)",0.0504,0.044,0.0468,0.0288
"[1.2,1.44)",0.0316,0.0456,0.0388,0.024
"[1.44,1.68)",0.016,0.0384,0.0276,0.0272
"[1.68,1.92)",0.006,0.0244,0.02,0.0296
"[1.92,2.16)",0.0032,0.0168,0.0172,0.0224
"[2.16,2.4)",0.002,0.012,0.0116,0.0236
"[2.4,2.64)",8e-04,0.0108,0.0088,0.018
"[2.64,2.88)",4e-04,0.0068,0.0072,0.0224
"[2.88,3.12)",4e-04,0.006,0.0032,0.0192
"[3.12,3.36)",0,0.0052,0.0032,0.02
"[3.36,3.6)",0.0012,0.0032,0.0032,0.0152
"[3.6,3.84)",0,0.0016,8e-04,0.012
"[3.84,4.08)",0,0.0012,0.0016,0.0136
"[4.08,4.32)",0,0.0012,0.0024,0.0136
"[4.32,4.56)",0,0.0012,0,0.0076
"[4.56,4.8)",0,0,8e-04,0.0096
"[4.8,5.04)",0,4e-04,8e-04,0.01
"[5.04,5.28)",0,8e-04,0,0.0056
"[5.28,5.52)",0,0,8e-04,0.0068
"[5.52,5.76)",0,0,8e-04,0.0076
"[5.76,6)",0,4e-04,0,0.0104
