"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.034,-0.016
"2","PM",0.1,0.074,-0.026
"3","PM",0.25,0.224,-0.026
"4","PM",0.75,0.7396,-0.0104
"5","PM",0.9,0.9388,0.0388
"6","PM",0.95,0.984,0.034
"7","CB",0.05,0.1192,0.0692
"8","CB",0.1,0.182,0.082
"9","CB",0.25,0.316,0.066
"10","CB",0.75,0.6548,-0.0952
"11","CB",0.9,0.8024,-0.0976
"12","CB",0.95,0.8768,-0.0732
"13","GR",0.05,0.1012,0.0512
"14","GR",0.1,0.1632,0.0632
"15","GR",0.25,0.2992,0.0492
"16","GR",0.75,0.6748,-0.0752
"17","GR",0.9,0.8256,-0.0744
"18","GR",0.95,0.8984,-0.0516
"19","ML",0.05,0.306,0.256
"20","ML",0.1,0.3516,0.2516
"21","ML",0.25,0.4224,0.1724
"22","ML",0.75,0.566,-0.184
"23","ML",0.9,0.6316,-0.2684
"24","ML",0.95,0.6792,-0.2708
