"","quantity","estimator","value"
"1","mean","PM",0.0158595773233118
"2","mean","CB",0.0158595773233118
"3","mean","GR",0.0155473709052874
"4","mean","ML",0.0883994148549723
"5","var","PM",0.287112947529107
"6","var","CB",1.88932526136322
"7","var","GR",1.71625625535985
"8","var","ML",24.2264587799165
"9","var","true",1.04728625175113
"10","SSEL","PM",1.21249980596964
"11","SSEL","CB",2.12558459806193
"12","SSEL","GR",2.03874341122166
"13","SSEL","ML",23.2770378886427
"14","WSSEL","PM",30.312495149241
"15","WSSEL","CB",53.1396149515482
"16","WSSEL","GR",50.9685852805415
"17","WSSEL","ML",581.925947216067
"18","ISEL","PM",0.195814431478218
"19","ISEL","CB",0.115823742173932
"20","ISEL","GR",0.101926926996588
"21","ISEL","ML",0.465958736823413
"22","SELrank","PM",0.106376331360947
"23","SELrank","CB",0.106376331360947
"24","SELrank","GR",0.105931360946746
"25","SELrank","ML",0.117899408284024
