"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,0,0,0
"[-3.84,-3.6)",0,0,0,0
"[-3.6,-3.36)",0,0,0,0
"[-3.36,-3.12)",0,0,0,0
"[-3.12,-2.88)",0,0,0,0
"[-2.88,-2.64)",0,2e-04,0,2e-04
"[-2.64,-2.4)",2e-04,2e-04,2e-04,4e-04
"[-2.4,-2.16)",6e-04,8e-04,8e-04,0.0022
"[-2.16,-1.92)",0.002,0.0038,0.0044,0.0032
"[-1.92,-1.68)",0.0054,0.0056,0.0098,0.0074
"[-1.68,-1.44)",0.0116,0.0172,0.0232,0.022
"[-1.44,-1.2)",0.0348,0.0408,0.041,0.0492
"[-1.2,-0.96)",0.0694,0.0682,0.0658,0.068
"[-0.96,-0.72)",0.0958,0.1016,0.093,0.103
"[-0.72,-0.48)",0.1226,0.1168,0.1134,0.1112
"[-0.48,-0.24)",0.1368,0.1306,0.118,0.1264
"[-0.24,0)",0.1264,0.1194,0.1104,0.1124
"[0,0.24)",0.0828,0.0808,0.088,0.075
"[0.24,0.48)",0.0626,0.0602,0.0646,0.0616
"[0.48,0.72)",0.034,0.0356,0.0458,0.035
"[0.72,0.96)",0.0328,0.029,0.0366,0.0288
"[0.96,1.2)",0.0256,0.0264,0.0306,0.026
"[1.2,1.44)",0.0324,0.0308,0.0318,0.0274
"[1.44,1.68)",0.0364,0.0332,0.0332,0.0296
"[1.68,1.92)",0.0342,0.0332,0.029,0.0352
"[1.92,2.16)",0.0226,0.0252,0.0244,0.0278
"[2.16,2.4)",0.0172,0.0196,0.0174,0.0198
"[2.4,2.64)",0.0086,0.013,0.0108,0.0162
"[2.64,2.88)",0.0034,0.0046,0.0048,0.0068
"[2.88,3.12)",0.0012,0.0024,0.0024,0.003
"[3.12,3.36)",2e-04,2e-04,2e-04,0.0016
"[3.36,3.6)",4e-04,6e-04,4e-04,4e-04
"[3.6,3.84)",0,0,0,2e-04
"[3.84,4.08)",0,0,0,0
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,0,0,0
"[4.56,4.8)",0,0,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
