"","quantity","estimator","value"
"1","mean","PM",-0.00543797304293032
"2","mean","CB",-0.00543797304293032
"3","mean","GR",-0.00534143836837719
"4","mean","ML",-0.00453553162735241
"5","var","PM",0.905076417150476
"6","var","CB",1.02720243944322
"7","var","GR",1.01378108156508
"8","var","ML",1.17226338429012
"9","var","true",1.01886668136255
"10","SSEL","PM",0.119974030241211
"11","SSEL","CB",0.123546328451545
"12","SSEL","GR",0.129551200756738
"13","SSEL","ML",0.146650964454705
"14","WSSEL","PM",5.99870151206057
"15","WSSEL","CB",6.17731642257723
"16","WSSEL","GR",6.47756003783688
"17","WSSEL","ML",7.33254822273526
"18","ISEL","PM",0.00666616715149142
"19","ISEL","CB",0.0058273639426396
"20","ISEL","GR",0.00446394594648416
"21","ISEL","ML",0.00660031772910069
"22","SELrank","PM",0.0116324490580546
"23","SELrank","CB",0.0116324490580546
"24","SELrank","GR",0.0116127643214148
"25","SELrank","ML",0.012156401384083
