"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,2e-04
"[-4.08,-3.84)",0,0,0,4e-04
"[-3.84,-3.6)",0,0,0,4e-04
"[-3.6,-3.36)",0,4e-04,0,2e-04
"[-3.36,-3.12)",4e-04,0.001,8e-04,0.0014
"[-3.12,-2.88)",0.001,0.0012,8e-04,0.002
"[-2.88,-2.64)",0.0012,0.003,0.0032,0.0048
"[-2.64,-2.4)",0.0036,0.0046,0.0044,0.006
"[-2.4,-2.16)",0.0062,0.0102,0.009,0.013
"[-2.16,-1.92)",0.0112,0.0114,0.0132,0.0154
"[-1.92,-1.68)",0.0146,0.017,0.0174,0.0194
"[-1.68,-1.44)",0.024,0.0284,0.0272,0.0368
"[-1.44,-1.2)",0.0364,0.0396,0.0384,0.0408
"[-1.2,-0.96)",0.0452,0.0474,0.0506,0.0498
"[-0.96,-0.72)",0.0638,0.062,0.0656,0.0608
"[-0.72,-0.48)",0.085,0.08,0.0824,0.0818
"[-0.48,-0.24)",0.1046,0.0998,0.0928,0.0848
"[-0.24,0)",0.1108,0.0992,0.1022,0.0874
"[0,0.24)",0.1148,0.1082,0.1028,0.0934
"[0.24,0.48)",0.099,0.0918,0.0908,0.0838
"[0.48,0.72)",0.075,0.0764,0.0754,0.0688
"[0.72,0.96)",0.0642,0.0614,0.0648,0.0628
"[0.96,1.2)",0.0504,0.0524,0.0498,0.0574
"[1.2,1.44)",0.0298,0.0306,0.0372,0.038
"[1.44,1.68)",0.0232,0.0282,0.0256,0.032
"[1.68,1.92)",0.012,0.0146,0.0168,0.0178
"[1.92,2.16)",0.0092,0.0116,0.011,0.0136
"[2.16,2.4)",0.0086,0.0086,0.0088,0.01
"[2.4,2.64)",0.0024,0.0052,0.0042,0.0084
"[2.64,2.88)",0.0022,0.0024,0.0032,0.0036
"[2.88,3.12)",6e-04,0.0024,0.001,0.0024
"[3.12,3.36)",4e-04,4e-04,4e-04,0.0012
"[3.36,3.6)",2e-04,4e-04,2e-04,4e-04
"[3.6,3.84)",0,2e-04,0,8e-04
"[3.84,4.08)",0,0,0,2e-04
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,0,0,0
"[4.56,4.8)",0,0,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
