"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0366,-0.0134
"2","PM",0.1,0.0851999999999999,-0.0148
"3","PM",0.25,0.242,-0.008
"4","PM",0.75,0.7662,0.0162
"5","PM",0.9,0.9086,0.0086
"6","PM",0.95,0.9576,0.0076
"7","CB",0.05,0.0486,-0.0014
"8","CB",0.1,0.102,0.002
"9","CB",0.25,0.2572,0.0072
"10","CB",0.75,0.7468,-0.0032
"11","CB",0.9,0.8932,-0.0068
"12","CB",0.95,0.9458,-0.0042
"13","GR",0.05,0.0494,-6e-04
"14","GR",0.1,0.1056,0.0056
"15","GR",0.25,0.2638,0.0138
"16","GR",0.75,0.7392,-0.0108
"17","GR",0.9,0.892,-0.008
"18","GR",0.95,0.9458,-0.0042
"19","ML",0.05,0.0642,0.0142
"20","ML",0.1,0.1248,0.0248
"21","ML",0.25,0.2782,0.0282
"22","ML",0.75,0.7256,-0.0244
"23","ML",0.9,0.875400000000001,-0.0246
"24","ML",0.95,0.9284,-0.0216
