"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.048,-0.002
"2","PM",0.1,0.0923999999999999,-0.0076
"3","PM",0.25,0.2316,-0.0184
"4","PM",0.75,0.7446,-0.0054
"5","PM",0.9,0.9304,0.0304
"6","PM",0.95,0.9664,0.0164
"7","CB",0.05,0.0652,0.0152
"8","CB",0.1,0.114,0.014
"9","CB",0.25,0.2578,0.0078
"10","CB",0.75,0.7326,-0.0174
"11","CB",0.9,0.9142,0.0142
"12","CB",0.95,0.9512,0.0012
"13","GR",0.05,0.0741999999999999,0.0242
"14","GR",0.1,0.123,0.023
"15","GR",0.25,0.2548,0.0048
"16","GR",0.75,0.7224,-0.0276
"17","GR",0.9,0.9222,0.0222
"18","GR",0.95,0.957999999999999,0.008
"19","ML",0.05,0.0935999999999999,0.0436
"20","ML",0.1,0.1518,0.0518
"21","ML",0.25,0.2848,0.0348
"22","ML",0.75,0.717,-0.033
"23","ML",0.9,0.898,-0.002
"24","ML",0.95,0.941599999999999,-0.0084
