"","quantity","estimator","value"
"1","mean","PM",-0.016736507579432
"2","mean","CB",-0.016736507579432
"3","mean","GR",-0.0166629592744459
"4","mean","ML",-0.00860935658222167
"5","var","PM",0.847760165674855
"6","var","CB",0.999522446045321
"7","var","GR",0.980916897909741
"8","var","ML",1.23427675806917
"9","var","true",0.99858028546383
"10","SSEL","PM",0.152324999371048
"11","SSEL","CB",0.157612291408017
"12","SSEL","GR",0.171952860653556
"13","SSEL","ML",0.223302521889555
"14","WSSEL","PM",7.61624996855239
"15","WSSEL","CB",7.88061457040085
"16","WSSEL","GR",8.59764303267782
"17","WSSEL","ML",11.1651260944777
"18","ISEL","PM",0.00855308274518137
"19","ISEL","CB",0.0073331278031451
"20","ISEL","GR",0.00719641413270416
"21","ISEL","ML",0.00966748314169036
"22","SELrank","PM",0.0198812764321415
"23","SELrank","CB",0.0198812764321415
"24","SELrank","GR",0.0194248366013072
"25","SELrank","ML",0.0219827758554402
