"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,0,0,4e-04
"[-3.84,-3.6)",0,0,0,8e-04
"[-3.6,-3.36)",0,6e-04,0,8e-04
"[-3.36,-3.12)",2e-04,0.0012,4e-04,0.0018
"[-3.12,-2.88)",0.001,8e-04,0.0016,0.004
"[-2.88,-2.64)",0.0012,0.0028,0.0022,0.0042
"[-2.64,-2.4)",0.0022,0.0052,0.004,0.0064
"[-2.4,-2.16)",0.0042,0.0052,0.0094,0.013
"[-2.16,-1.92)",0.0062,0.0134,0.0118,0.0176
"[-1.92,-1.68)",0.014,0.0192,0.021,0.0268
"[-1.68,-1.44)",0.0232,0.03,0.0284,0.0322
"[-1.44,-1.2)",0.035,0.038,0.0392,0.0458
"[-1.2,-0.96)",0.0508,0.0574,0.0506,0.0526
"[-0.96,-0.72)",0.0658,0.0664,0.0684,0.0662
"[-0.72,-0.48)",0.0888,0.084,0.0796,0.0712
"[-0.48,-0.24)",0.0994,0.0826,0.0892,0.0732
"[-0.24,0)",0.1048,0.0908,0.0966,0.0832
"[0,0.24)",0.118,0.1008,0.0948,0.0828
"[0.24,0.48)",0.1002,0.0906,0.0912,0.0792
"[0.48,0.72)",0.0834,0.0792,0.0792,0.0728
"[0.72,0.96)",0.0658,0.063,0.0648,0.0642
"[0.96,1.2)",0.0492,0.0536,0.051,0.0492
"[1.2,1.44)",0.033,0.0356,0.039,0.0428
"[1.44,1.68)",0.0236,0.0288,0.0282,0.0322
"[1.68,1.92)",0.0148,0.0212,0.0196,0.0232
"[1.92,2.16)",0.0078,0.014,0.0136,0.0218
"[2.16,2.4)",0.0038,0.0068,0.0076,0.0122
"[2.4,2.64)",0.002,0.0046,0.0042,0.008
"[2.64,2.88)",0.001,0.0018,0.003,0.0056
"[2.88,3.12)",2e-04,0.0012,8e-04,0.0032
"[3.12,3.36)",2e-04,6e-04,4e-04,0.001
"[3.36,3.6)",0,4e-04,0,6e-04
"[3.6,3.84)",2e-04,0,2e-04,4e-04
"[3.84,4.08)",0,2e-04,0,4e-04
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,0,0,2e-04
"[4.56,4.8)",0,0,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
