"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0334,-0.0166
"2","PM",0.1,0.0762,-0.0238
"3","PM",0.25,0.2246,-0.0254
"4","PM",0.75,0.7974,0.0474
"5","PM",0.9,0.927999999999999,0.028
"6","PM",0.95,0.965399999999999,0.0154
"7","CB",0.05,0.0512,0.0012
"8","CB",0.1,0.0994,-6e-04
"9","CB",0.25,0.261,0.011
"10","CB",0.75,0.7702,0.0202
"11","CB",0.9,0.9048,0.0048
"12","CB",0.95,0.950399999999999,4e-04
"13","GR",0.05,0.0534,0.0034
"14","GR",0.1,0.1086,0.0086
"15","GR",0.25,0.2644,0.0144
"16","GR",0.75,0.756,0.006
"17","GR",0.9,0.9014,0.0014
"18","GR",0.95,0.949599999999999,-4e-04
"19","ML",0.05,0.0784,0.0284
"20","ML",0.1,0.1482,0.0482
"21","ML",0.25,0.3058,0.0558
"22","ML",0.75,0.719,-0.031
"23","ML",0.9,0.8626,-0.0374
"24","ML",0.95,0.925,-0.025
