"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,0,0,0
"[-3.84,-3.6)",0,0,0,2e-04
"[-3.6,-3.36)",0,2e-04,0,0
"[-3.36,-3.12)",0,0,2e-04,0
"[-3.12,-2.88)",2e-04,0,0,6e-04
"[-2.88,-2.64)",0,4e-04,2e-04,0.001
"[-2.64,-2.4)",2e-04,4e-04,0.0014,0.0028
"[-2.4,-2.16)",8e-04,0.0028,0.005,0.007
"[-2.16,-1.92)",0.0022,0.0062,0.0094,0.0144
"[-1.92,-1.68)",0.0076,0.0156,0.0168,0.0204
"[-1.68,-1.44)",0.0172,0.0236,0.0292,0.038
"[-1.44,-1.2)",0.0304,0.048,0.0424,0.0552
"[-1.2,-0.96)",0.0624,0.066,0.0596,0.0712
"[-0.96,-0.72)",0.0902,0.0864,0.0764,0.074
"[-0.72,-0.48)",0.1002,0.0956,0.0924,0.0902
"[-0.48,-0.24)",0.1214,0.1028,0.0996,0.0856
"[-0.24,0)",0.117,0.1008,0.102,0.0888
"[0,0.24)",0.11,0.095,0.0954,0.0798
"[0.24,0.48)",0.0902,0.0806,0.0854,0.072
"[0.48,0.72)",0.0702,0.0682,0.0706,0.0596
"[0.72,0.96)",0.0468,0.0502,0.0564,0.0534
"[0.96,1.2)",0.0408,0.0376,0.0436,0.0392
"[1.2,1.44)",0.0296,0.031,0.033,0.0354
"[1.44,1.68)",0.0222,0.0294,0.0254,0.0242
"[1.68,1.92)",0.0126,0.017,0.0162,0.0244
"[1.92,2.16)",0.0082,0.0128,0.0144,0.0176
"[2.16,2.4)",0.007,0.0088,0.0084,0.0122
"[2.4,2.64)",0.0058,0.0068,0.0076,0.0088
"[2.64,2.88)",0.0038,0.0046,0.0028,0.0066
"[2.88,3.12)",0.0016,0.005,0.0036,0.005
"[3.12,3.36)",6e-04,0.0022,0.0014,0.0052
"[3.36,3.6)",0,0.001,4e-04,0.004
"[3.6,3.84)",4e-04,2e-04,4e-04,0.0016
"[3.84,4.08)",4e-04,2e-04,2e-04,6e-04
"[4.08,4.32)",0,2e-04,2e-04,4e-04
"[4.32,4.56)",0,4e-04,0,0
"[4.56,4.8)",0,0,0,4e-04
"[4.8,5.04)",0,0,0,2e-04
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
