"","quantity","estimator","value"
"1","mean","PM",-0.0128987883607647
"2","mean","CB",-0.0128987883607647
"3","mean","GR",-0.0131568352606186
"4","mean","ML",-0.0128638598132187
"5","var","PM",0.739588496775293
"6","var","CB",0.986710146837986
"7","var","GR",0.972821688440794
"8","var","ML",1.31915497808293
"9","var","true",0.98452119252013
"10","SSEL","PM",0.241874802627138
"11","SSEL","CB",0.255273886346544
"12","SSEL","GR",0.274067412099856
"13","SSEL","ML",0.317144225612172
"14","WSSEL","PM",12.0937401313569
"15","WSSEL","CB",12.7636943173272
"16","WSSEL","GR",13.7033706049928
"17","WSSEL","ML",15.8572112806086
"18","ISEL","PM",0.015117050355091
"19","ISEL","CB",0.010959369864972
"20","ISEL","GR",0.0103803308778251
"21","ISEL","ML",0.014016299628536
"22","SELrank","PM",0.0267052672049212
"23","SELrank","CB",0.0267052672049212
"24","SELrank","GR",0.0266698961937716
"25","SELrank","ML",0.0266574394463668
