"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.031,-0.019
"2","PM",0.1,0.07,-0.03
"3","PM",0.25,0.2052,-0.0448
"4","PM",0.75,0.7902,0.0402
"5","PM",0.9,0.939599999999999,0.0396
"6","PM",0.95,0.973599999999999,0.0236
"7","CB",0.05,0.0536,0.0036
"8","CB",0.1,0.1014,0.0014
"9","CB",0.25,0.2438,-0.0062
"10","CB",0.75,0.7514,0.0014
"11","CB",0.9,0.9066,0.0066
"12","CB",0.95,0.9508,8e-04
"13","GR",0.05,0.0532,0.0032
"14","GR",0.1,0.1026,0.0026
"15","GR",0.25,0.246,-0.004
"16","GR",0.75,0.7512,0.0012
"17","GR",0.9,0.9008,8e-04
"18","GR",0.95,0.9504,4e-04
"19","ML",0.05,0.0915999999999999,0.0416
"20","ML",0.1,0.1474,0.0474
"21","ML",0.25,0.2886,0.0386
"22","ML",0.75,0.7124,-0.0376
"23","ML",0.9,0.8576,-0.0424
"24","ML",0.95,0.9134,-0.0366
