"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0268,-0.0232
"2","PM",0.1,0.0606,-0.0394
"3","PM",0.25,0.1746,-0.0754
"4","PM",0.75,0.7994,0.0494
"5","PM",0.9,0.9422,0.0422
"6","PM",0.95,0.970199999999999,0.0202
"7","CB",0.05,0.0478,-0.0022
"8","CB",0.1,0.09,-0.01
"9","CB",0.25,0.215,-0.035
"10","CB",0.75,0.7642,0.0142
"11","CB",0.9,0.909199999999999,0.0092
"12","CB",0.95,0.9532,0.0032
"13","GR",0.05,0.0476,-0.0024
"14","GR",0.1,0.0887999999999999,-0.0112
"15","GR",0.25,0.2232,-0.0268
"16","GR",0.75,0.7608,0.0108
"17","GR",0.9,0.907,0.007
"18","GR",0.95,0.9496,-4e-04
"19","ML",0.05,0.0809999999999999,0.031
"20","ML",0.1,0.1392,0.0392
"21","ML",0.25,0.2746,0.0246
"22","ML",0.75,0.7102,-0.0398
"23","ML",0.9,0.8566,-0.0434
"24","ML",0.95,0.9148,-0.0352
