"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0278,-0.0222
"2","PM",0.1,0.0616,-0.0384
"3","PM",0.25,0.2028,-0.0472
"4","PM",0.75,0.7854,0.0354
"5","PM",0.9,0.9294,0.0294
"6","PM",0.95,0.9706,0.0206
"7","CB",0.05,0.0476,-0.0024
"8","CB",0.1,0.0914,-0.0086
"9","CB",0.25,0.2398,-0.0102
"10","CB",0.75,0.7444,-0.0056
"11","CB",0.9,0.8932,-0.0068
"12","CB",0.95,0.9486,-0.0014
"13","GR",0.05,0.05,0
"14","GR",0.1,0.0949999999999999,-0.005
"15","GR",0.25,0.243,-0.007
"16","GR",0.75,0.7418,-0.0082
"17","GR",0.9,0.893,-0.007
"18","GR",0.95,0.947,-0.003
"19","ML",0.05,0.0799999999999999,0.03
"20","ML",0.1,0.1364,0.0364
"21","ML",0.25,0.2844,0.0344
"22","ML",0.75,0.7072,-0.0428
"23","ML",0.9,0.8532,-0.0468
"24","ML",0.95,0.9092,-0.0408
