"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0438,-0.0062
"2","PM",0.1,0.0832,-0.0168
"3","PM",0.25,0.1934,-0.0566
"4","PM",0.75,0.716,-0.034
"5","PM",0.9,0.962799999999999,0.0628
"6","PM",0.95,0.981,0.031
"7","CB",0.05,0.0811999999999999,0.0312
"8","CB",0.1,0.13,0.03
"9","CB",0.25,0.243,-0.007
"10","CB",0.75,0.6918,-0.0582
"11","CB",0.9,0.942399999999999,0.0424
"12","CB",0.95,0.964199999999999,0.0142
"13","GR",0.05,0.0866,0.0366
"14","GR",0.1,0.129,0.029
"15","GR",0.25,0.2362,-0.0138
"16","GR",0.75,0.6816,-0.0684
"17","GR",0.9,0.946599999999999,0.0466
"18","GR",0.95,0.9696,0.0196
"19","ML",0.05,0.1312,0.0812
"20","ML",0.1,0.1858,0.0858
"21","ML",0.25,0.298,0.048
"22","ML",0.75,0.654,-0.096
"23","ML",0.9,0.9044,0.0044
"24","ML",0.95,0.9406,-0.0094
