"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,2e-04
"[-4.56,-4.32)",0,0,0,4e-04
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,0,0,6e-04
"[-3.84,-3.6)",0,0,0,6e-04
"[-3.6,-3.36)",0,0,0,2e-04
"[-3.36,-3.12)",0,0,0,0.0016
"[-3.12,-2.88)",0,0,0,0.0018
"[-2.88,-2.64)",0,2e-04,0,0.0028
"[-2.64,-2.4)",0,4e-04,0.001,0.005
"[-2.4,-2.16)",4e-04,0.0016,0.0018,0.0086
"[-2.16,-1.92)",0.001,0.0024,0.0058,0.0122
"[-1.92,-1.68)",0.0022,0.0112,0.0124,0.0264
"[-1.68,-1.44)",0.0106,0.0232,0.0236,0.0366
"[-1.44,-1.2)",0.0276,0.0426,0.042,0.0506
"[-1.2,-0.96)",0.056,0.073,0.0668,0.0644
"[-0.96,-0.72)",0.0972,0.0912,0.092,0.0744
"[-0.72,-0.48)",0.1208,0.1104,0.1032,0.0874
"[-0.48,-0.24)",0.123,0.102,0.102,0.0782
"[-0.24,0)",0.116,0.0988,0.093,0.082
"[0,0.24)",0.1,0.0816,0.0852,0.0722
"[0.24,0.48)",0.0854,0.0762,0.0752,0.0764
"[0.48,0.72)",0.0626,0.0624,0.0646,0.0562
"[0.72,0.96)",0.0522,0.0484,0.0542,0.0506
"[0.96,1.2)",0.045,0.0406,0.0458,0.0458
"[1.2,1.44)",0.0354,0.037,0.0392,0.0388
"[1.44,1.68)",0.0236,0.0306,0.03,0.0328
"[1.68,1.92)",0.014,0.0222,0.021,0.024
"[1.92,2.16)",0.0076,0.0128,0.0138,0.0176
"[2.16,2.4)",0.008,0.0094,0.0096,0.0152
"[2.4,2.64)",0.0038,0.007,0.0068,0.0084
"[2.64,2.88)",0.0024,0.0048,0.0038,0.0112
"[2.88,3.12)",0.0022,0.0036,0.0028,0.0034
"[3.12,3.36)",0.0012,0.0012,0.0018,0.0042
"[3.36,3.6)",4e-04,0.0024,8e-04,0.0032
"[3.6,3.84)",0,0.0012,2e-04,0.0018
"[3.84,4.08)",6e-04,2e-04,6e-04,0.0012
"[4.08,4.32)",4e-04,0,6e-04,4e-04
"[4.32,4.56)",2e-04,6e-04,0,0.0012
"[4.56,4.8)",0,2e-04,2e-04,4e-04
"[4.8,5.04)",0,4e-04,0,2e-04
"[5.04,5.28)",0,0,0,2e-04
"[5.28,5.52)",2e-04,0,2e-04,0
"[5.52,5.76)",0,0,0,4e-04
"[5.76,6)",0,0,0,0
