"","quantity","estimator","value"
"1","mean","PM",0.0176332786730031
"2","mean","CB",0.0176332786730031
"3","mean","GR",0.0177599569747242
"4","mean","ML",0.0122362635272582
"5","var","PM",0.729374605478313
"6","var","CB",1.01376218811847
"7","var","GR",0.996415320184845
"8","var","ML",1.50930175914864
"9","var","true",1.00230004440031
"10","SSEL","PM",0.291630602338723
"11","SSEL","CB",0.314673226750352
"12","SSEL","GR",0.326144587371076
"13","SSEL","ML",0.514278077951258
"14","WSSEL","PM",14.5815301169361
"15","WSSEL","CB",15.7336613375176
"16","WSSEL","GR",16.3072293685538
"17","WSSEL","ML",25.7139038975629
"18","ISEL","PM",0.0170042588320224
"19","ISEL","CB",0.0117568978909517
"20","ISEL","GR",0.00960550396681354
"21","ISEL","ML",0.0174998235480578
"22","SELrank","PM",0.0308215301806997
"23","SELrank","CB",0.0308215301806997
"24","SELrank","GR",0.0306952710495963
"25","SELrank","ML",0.0335895424836601
