"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,4e-04
"[-5.52,-5.28)",0,0,0,4e-04
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,4e-04
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0.001
"[-4.32,-4.08)",0,0,0,6e-04
"[-4.08,-3.84)",0,0,0,0.0012
"[-3.84,-3.6)",0,0,0,0.0016
"[-3.6,-3.36)",0,0,0,0.002
"[-3.36,-3.12)",0,0,0,0.0024
"[-3.12,-2.88)",0,2e-04,0,0.0038
"[-2.88,-2.64)",0,2e-04,0,0.0024
"[-2.64,-2.4)",2e-04,4e-04,0.001,0.0062
"[-2.4,-2.16)",4e-04,0.0014,0.002,0.011
"[-2.16,-1.92)",6e-04,0.003,0.0048,0.0124
"[-1.92,-1.68)",0.0028,0.007,0.0112,0.0198
"[-1.68,-1.44)",0.0064,0.0192,0.021,0.0324
"[-1.44,-1.2)",0.022,0.0366,0.0364,0.0478
"[-1.2,-0.96)",0.0472,0.0674,0.0624,0.0574
"[-0.96,-0.72)",0.086,0.1004,0.098,0.0826
"[-0.72,-0.48)",0.1414,0.1196,0.1192,0.0902
"[-0.48,-0.24)",0.1488,0.1254,0.117,0.0926
"[-0.24,0)",0.1348,0.1116,0.1058,0.087
"[0,0.24)",0.1034,0.0892,0.0886,0.0746
"[0.24,0.48)",0.0728,0.061,0.0622,0.0582
"[0.48,0.72)",0.0456,0.047,0.0466,0.0488
"[0.72,0.96)",0.034,0.0344,0.0354,0.0372
"[0.96,1.2)",0.0284,0.0286,0.032,0.0362
"[1.2,1.44)",0.0276,0.0238,0.0322,0.0314
"[1.44,1.68)",0.0316,0.0252,0.032,0.0338
"[1.68,1.92)",0.0284,0.0256,0.0336,0.0296
"[1.92,2.16)",0.0186,0.0254,0.0234,0.0244
"[2.16,2.4)",0.0112,0.0206,0.0168,0.0194
"[2.4,2.64)",0.0048,0.0126,0.0104,0.016
"[2.64,2.88)",0.0012,0.009,0.0042,0.0104
"[2.88,3.12)",0.0012,0.0024,0.0022,0.0076
"[3.12,3.36)",4e-04,0.0014,0.0012,0.0042
"[3.36,3.6)",2e-04,8e-04,4e-04,0.0036
"[3.6,3.84)",0,2e-04,0,0.0018
"[3.84,4.08)",0,4e-04,0,0.002
"[4.08,4.32)",0,0,0,8e-04
"[4.32,4.56)",0,0,0,0.0014
"[4.56,4.8)",0,0,0,6e-04
"[4.8,5.04)",0,0,0,8e-04
"[5.04,5.28)",0,0,0,4e-04
"[5.28,5.52)",0,0,0,4e-04
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,2e-04
