"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,2e-04
"[-5.76,-5.52)",0,0,0,2e-04
"[-5.52,-5.28)",0,0,0,6e-04
"[-5.28,-5.04)",0,0,0,0.001
"[-5.04,-4.8)",0,0,0,4e-04
"[-4.8,-4.56)",0,0,0,0.001
"[-4.56,-4.32)",0,0,0,0.001
"[-4.32,-4.08)",0,0,0,0.0014
"[-4.08,-3.84)",0,0,0,0.003
"[-3.84,-3.6)",0,0,0,0.0036
"[-3.6,-3.36)",0,4e-04,4e-04,0.0036
"[-3.36,-3.12)",0,0.0016,4e-04,0.008
"[-3.12,-2.88)",0,6e-04,0.0012,0.0062
"[-2.88,-2.64)",0,0.001,0.001,0.0116
"[-2.64,-2.4)",6e-04,0.0028,0.005,0.0128
"[-2.4,-2.16)",0.0016,0.0042,0.0064,0.0164
"[-2.16,-1.92)",0.0016,0.0068,0.0082,0.0224
"[-1.92,-1.68)",0.0036,0.0152,0.0148,0.028
"[-1.68,-1.44)",0.008,0.0172,0.0204,0.0334
"[-1.44,-1.2)",0.0158,0.0306,0.0328,0.0454
"[-1.2,-0.96)",0.0286,0.0526,0.0484,0.0576
"[-0.96,-0.72)",0.058,0.0794,0.0706,0.0628
"[-0.72,-0.48)",0.1174,0.103,0.0968,0.0722
"[-0.48,-0.24)",0.1706,0.1238,0.1224,0.072
"[-0.24,0)",0.1876,0.1334,0.1268,0.077
"[0,0.24)",0.1378,0.1128,0.1098,0.0668
"[0.24,0.48)",0.0962,0.0828,0.0874,0.0588
"[0.48,0.72)",0.0586,0.0614,0.0666,0.048
"[0.72,0.96)",0.0342,0.0458,0.0512,0.0486
"[0.96,1.2)",0.0254,0.0292,0.0354,0.0338
"[1.2,1.44)",0.0184,0.0238,0.0264,0.0374
"[1.44,1.68)",0.0128,0.0182,0.0192,0.0298
"[1.68,1.92)",0.008,0.0118,0.0162,0.0256
"[1.92,2.16)",0.0054,0.0116,0.01,0.0288
"[2.16,2.4)",0.0042,0.0084,0.0072,0.02
"[2.4,2.64)",0.0022,0.0076,0.006,0.0128
"[2.64,2.88)",0.0024,0.003,0.0026,0.01
"[2.88,3.12)",6e-04,0.0042,0.0036,0.0082
"[3.12,3.36)",4e-04,0.0018,0.001,0.0072
"[3.36,3.6)",0,0.0026,8e-04,0.0058
"[3.6,3.84)",0,8e-04,0.001,0.005
"[3.84,4.08)",0,0.0012,0,0.0022
"[4.08,4.32)",0,2e-04,0,0.0022
"[4.32,4.56)",0,2e-04,0,0.0014
"[4.56,4.8)",0,0,0,0.0014
"[4.8,5.04)",0,0,0,8e-04
"[5.04,5.28)",0,0,0,0.001
"[5.28,5.52)",0,0,0,6e-04
"[5.52,5.76)",0,0,0,4e-04
"[5.76,6)",0,0,0,4e-04
