"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.031,-0.019
"2","PM",0.1,0.0576,-0.0424
"3","PM",0.25,0.145,-0.105
"4","PM",0.75,0.7548,0.0048
"5","PM",0.9,0.983799999999999,0.0838
"6","PM",0.95,0.9932,0.0432
"7","CB",0.05,0.0892,0.0392
"8","CB",0.1,0.1318,0.0318
"9","CB",0.25,0.2364,-0.0136
"10","CB",0.75,0.692,-0.058
"11","CB",0.9,0.951,0.051
"12","CB",0.95,0.971999999999999,0.022
"13","GR",0.05,0.0945999999999999,0.0446
"14","GR",0.1,0.1364,0.0364
"15","GR",0.25,0.2374,-0.0126
"16","GR",0.75,0.6826,-0.0674
"17","GR",0.9,0.955,0.055
"18","GR",0.95,0.977199999999999,0.0272
"19","ML",0.05,0.1908,0.1408
"20","ML",0.1,0.2384,0.1384
"21","ML",0.25,0.3286,0.0786
"22","ML",0.75,0.6282,-0.1218
"23","ML",0.9,0.8704,-0.0296
"24","ML",0.95,0.9104,-0.0396
