"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0226,-0.0274
"2","PM",0.1,0.0448,-0.0552
"3","PM",0.25,0.1558,-0.0942
"4","PM",0.75,0.8316,0.0816
"5","PM",0.9,0.9514,0.0514
"6","PM",0.95,0.9788,0.0288
"7","CB",0.05,0.058,0.008
"8","CB",0.1,0.1006,6e-04
"9","CB",0.25,0.2184,-0.0316
"10","CB",0.75,0.7602,0.0102
"11","CB",0.9,0.8992,-8e-04
"12","CB",0.95,0.9392,-0.0108
"13","GR",0.05,0.056,0.006
"14","GR",0.1,0.1,0
"15","GR",0.25,0.2356,-0.0144
"16","GR",0.75,0.7544,0.0044
"17","GR",0.9,0.8948,-0.0052
"18","GR",0.95,0.940199999999999,-0.0098
"19","ML",0.05,0.1466,0.0966
"20","ML",0.1,0.2036,0.1036
"21","ML",0.25,0.3244,0.0744
"22","ML",0.75,0.6618,-0.0882
"23","ML",0.9,0.7882,-0.1118
"24","ML",0.95,0.8436,-0.1064
