"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0192,-0.0308
"2","PM",0.1,0.049,-0.051
"3","PM",0.25,0.1688,-0.0812
"4","PM",0.75,0.8086,0.0586
"5","PM",0.9,0.946,0.046
"6","PM",0.95,0.9764,0.0264
"7","CB",0.05,0.0498,-2e-04
"8","CB",0.1,0.1012,0.0012
"9","CB",0.25,0.248,-0.002
"10","CB",0.75,0.7336,-0.0164
"11","CB",0.9,0.8862,-0.0138
"12","CB",0.95,0.9402,-0.0098
"13","GR",0.05,0.0524,0.0024
"14","GR",0.1,0.1094,0.0094
"15","GR",0.25,0.2664,0.0164
"16","GR",0.75,0.7218,-0.0282
"17","GR",0.9,0.8784,-0.0216
"18","GR",0.95,0.937,-0.013
"19","ML",0.05,0.1464,0.0964
"20","ML",0.1,0.2106,0.1106
"21","ML",0.25,0.3458,0.0958
"22","ML",0.75,0.6568,-0.0932
"23","ML",0.9,0.7792,-0.1208
"24","ML",0.95,0.8456,-0.1044
