"","quantity","estimator","value"
"1","mean","PM",-0.0312085538216236
"2","mean","CB",-0.0312085538216236
"3","mean","GR",-0.0307909087744095
"4","mean","ML",-0.0293179633319462
"5","var","PM",0.527800513032502
"6","var","CB",1.05962507633342
"7","var","GR",1.03665098162897
"8","var","ML",3.14564387805542
"9","var","true",0.99271815047239
"10","SSEL","PM",0.52216578336146
"11","SSEL","CB",0.623935315181415
"12","SSEL","GR",0.649960616018875
"13","SSEL","ML",2.19850952091538
"14","WSSEL","PM",26.108289168073
"15","WSSEL","CB",31.1967657590707
"16","WSSEL","GR",32.4980308009437
"17","WSSEL","ML",109.925476045769
"18","ISEL","PM",0.0354903575401209
"19","ISEL","CB",0.0214315439863391
"20","ISEL","GR",0.0183689575003259
"21","ISEL","ML",0.0646746227491708
"22","SELrank","PM",0.0584664359861592
"23","SELrank","CB",0.0584664359861592
"24","SELrank","GR",0.0584427527873895
"25","SELrank","ML",0.0683780084582853
