"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0056,-0.0444
"2","PM",0.1,0.0128,-0.0872
"3","PM",0.25,0.1164,-0.1336
"4","PM",0.75,0.873,0.123
"5","PM",0.9,0.9798,0.0798
"6","PM",0.95,0.993,0.043
"7","CB",0.05,0.058,0.008
"8","CB",0.1,0.103,0.003
"9","CB",0.25,0.244,-0.006
"10","CB",0.75,0.7428,-0.0072
"11","CB",0.9,0.8834,-0.0166
"12","CB",0.95,0.9298,-0.0202
"13","GR",0.05,0.0494,-6e-04
"14","GR",0.1,0.0817999999999999,-0.0182
"15","GR",0.25,0.21,-0.04
"16","GR",0.75,0.7742,0.0242
"17","GR",0.9,0.9064,0.0064
"18","GR",0.95,0.9436,-0.0064
"19","ML",0.05,0.3076,0.2576
"20","ML",0.1,0.3446,0.2446
"21","ML",0.25,0.4176,0.1676
"22","ML",0.75,0.5794,-0.1706
"23","ML",0.9,0.645,-0.255
"24","ML",0.95,0.682,-0.268
