"","quantity","estimator","value"
"1","mean","PM",0.0420030161238514
"2","mean","CB",0.0420030161238514
"3","mean","GR",0.041986623372721
"4","mean","ML",0.0434155790334275
"5","var","PM",0.141036403190717
"6","var","CB",1.17616618862538
"7","var","GR",1.07334536994231
"8","var","ML",11.01434672191
"9","var","true",0.983107851419651
"10","SSEL","PM",1.11114165531352
"11","SSEL","CB",1.69621382246457
"12","SSEL","GR",1.63574828391163
"13","SSEL","ML",10.0342926621318
"14","WSSEL","PM",55.5570827656762
"15","WSSEL","CB",84.8106911232287
"16","WSSEL","GR",81.7874141955814
"17","WSSEL","ML",501.714633106589
"18","ISEL","PM",0.204545445659697
"19","ISEL","CB",0.0769830015333136
"20","ISEL","GR",0.0811281843806119
"21","ISEL","ML",0.374864280090165
"22","SELrank","PM",0.116210226835832
"23","SELrank","CB",0.116210226835832
"24","SELrank","GR",0.115916493656286
"25","SELrank","ML",0.115855286428297
