"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0058,-0.0442
"2","PM",0.1,0.0216,-0.0784
"3","PM",0.25,0.1456,-0.1044
"4","PM",0.75,0.8338,0.0838
"5","PM",0.9,0.975,0.075
"6","PM",0.95,0.9948,0.0448
"7","CB",0.05,0.0719999999999999,0.022
"8","CB",0.1,0.1348,0.0348
"9","CB",0.25,0.2918,0.0418
"10","CB",0.75,0.7208,-0.0292
"11","CB",0.9,0.8684,-0.0316
"12","CB",0.95,0.9216,-0.0284
"13","GR",0.05,0.0591999999999999,0.0092
"14","GR",0.1,0.1098,0.0098
"15","GR",0.25,0.2604,0.0104
"16","GR",0.75,0.7462,-0.0038
"17","GR",0.9,0.8918,-0.0082
"18","GR",0.95,0.940399999999999,-0.0096
"19","ML",0.05,0.32,0.27
"20","ML",0.1,0.3674,0.2674
"21","ML",0.25,0.4342,0.1842
"22","ML",0.75,0.5664,-0.1836
"23","ML",0.9,0.6354,-0.2646
"24","ML",0.95,0.684,-0.266
