"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0138,-0.0362
"2","PM",0.1,0.0472,-0.0528
"3","PM",0.25,0.1996,-0.0504
"4","PM",0.75,0.8064,0.0564
"5","PM",0.9,0.9432,0.0432
"6","PM",0.95,0.9812,0.0312
"7","CB",0.05,0.1376,0.0876
"8","CB",0.1,0.199,0.099
"9","CB",0.25,0.3252,0.0752
"10","CB",0.75,0.6776,-0.0724
"11","CB",0.9,0.8118,-0.0882
"12","CB",0.95,0.8608,-0.0892
"13","GR",0.05,0.1312,0.0812
"14","GR",0.1,0.1866,0.0866
"15","GR",0.25,0.318,0.068
"16","GR",0.75,0.6866,-0.0634
"17","GR",0.9,0.8134,-0.0866
"18","GR",0.95,0.868,-0.082
"19","ML",0.05,0.3044,0.2544
"20","ML",0.1,0.3426,0.2426
"21","ML",0.25,0.4154,0.1654
"22","ML",0.75,0.588,-0.162
"23","ML",0.9,0.6578,-0.2422
"24","ML",0.95,0.6934,-0.2566
