"","quantity","estimator","value"
"1","mean","PM",-0.0123372380096221
"2","mean","CB",-0.0123372380096221
"3","mean","GR",-0.0123244403226022
"4","mean","ML",-0.0285433961213278
"5","var","PM",0.132208551957612
"6","var","CB",1.00165568294784
"7","var","GR",0.912952528102407
"8","var","ML",15.9693233115324
"9","var","true",1.00485202627
"10","SSEL","PM",1.08523602908029
"11","SSEL","CB",1.48863213841212
"12","SSEL","GR",1.44137575215655
"13","SSEL","ML",14.94194047159
"14","WSSEL","PM",54.2618014540144
"15","WSSEL","CB",74.4316069206059
"16","WSSEL","GR",72.0687876078274
"17","WSSEL","ML",747.097023579502
"18","ISEL","PM",0.203799125718182
"19","ISEL","CB",0.0867539570818573
"20","ISEL","GR",0.0901275893764899
"21","ISEL","ML",0.407367283852513
"22","SELrank","PM",0.111880046136102
"23","SELrank","CB",0.111880046136102
"24","SELrank","GR",0.11119753940792
"25","SELrank","ML",0.116711111111111
