"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0084,-0.0416
"2","PM",0.1,0.0204,-0.0796
"3","PM",0.25,0.0864,-0.1636
"4","PM",0.75,0.8068,0.0568
"5","PM",0.9,0.9946,0.0946
"6","PM",0.95,0.9966,0.0466
"7","CB",0.05,0.09,0.04
"8","CB",0.1,0.1248,0.0248
"9","CB",0.25,0.2134,-0.0366
"10","CB",0.75,0.6794,-0.0706
"11","CB",0.9,0.9506,0.0506
"12","CB",0.95,0.9716,0.0216
"13","GR",0.05,0.0803999999999999,0.0304
"14","GR",0.1,0.1094,0.0094
"15","GR",0.25,0.1904,-0.0596
"16","GR",0.75,0.6902,-0.0598
"17","GR",0.9,0.9536,0.0536
"18","GR",0.95,0.9718,0.0218
"19","ML",0.05,0.3488,0.2988
"20","ML",0.1,0.3734,0.2734
"21","ML",0.25,0.416,0.166
"22","ML",0.75,0.552,-0.198
"23","ML",0.9,0.7088,-0.1912
"24","ML",0.95,0.7404,-0.2096
