"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.0052
"[-5.76,-5.52)",0,0,0,0.005
"[-5.52,-5.28)",0,2e-04,0,0.0072
"[-5.28,-5.04)",0,8e-04,0,0.007
"[-5.04,-4.8)",0,0,0,0.0072
"[-4.8,-4.56)",0,0,0,0.0066
"[-4.56,-4.32)",0,2e-04,2e-04,0.0122
"[-4.32,-4.08)",0,6e-04,8e-04,0.0096
"[-4.08,-3.84)",0,4e-04,4e-04,0.0102
"[-3.84,-3.6)",0,2e-04,0.0016,0.0096
"[-3.6,-3.36)",0,4e-04,6e-04,0.0102
"[-3.36,-3.12)",0,0.001,0.0018,0.0134
"[-3.12,-2.88)",2e-04,0.0026,0.0026,0.0172
"[-2.88,-2.64)",2e-04,0.004,0.0034,0.0182
"[-2.64,-2.4)",2e-04,0.0038,0.0044,0.017
"[-2.4,-2.16)",4e-04,0.0066,0.007,0.0206
"[-2.16,-1.92)",8e-04,0.008,0.0082,0.0198
"[-1.92,-1.68)",8e-04,0.0114,0.0118,0.0248
"[-1.68,-1.44)",0.003,0.02,0.0172,0.0232
"[-1.44,-1.2)",0.009,0.028,0.0256,0.0288
"[-1.2,-0.96)",0.0168,0.0404,0.0386,0.029
"[-0.96,-0.72)",0.0394,0.0612,0.061,0.03
"[-0.72,-0.48)",0.1146,0.0908,0.0874,0.0302
"[-0.48,-0.24)",0.1366,0.1138,0.1124,0.033
"[-0.24,0)",0.1888,0.1224,0.1288,0.032
"[0,0.24)",0.2144,0.1316,0.1264,0.033
"[0.24,0.48)",0.134,0.0988,0.1068,0.0302
"[0.48,0.72)",0.0708,0.0812,0.0788,0.0332
"[0.72,0.96)",0.0388,0.054,0.055,0.0298
"[0.96,1.2)",0.0148,0.0358,0.0376,0.0256
"[1.2,1.44)",0.0074,0.023,0.024,0.0274
"[1.44,1.68)",0.0024,0.0134,0.0152,0.027
"[1.68,1.92)",0.002,0.0124,0.0118,0.0244
"[1.92,2.16)",0.0022,0.0088,0.0084,0.0196
"[2.16,2.4)",0.001,0.0056,0.0062,0.0198
"[2.4,2.64)",4e-04,0.004,0.0042,0.0162
"[2.64,2.88)",8e-04,0.004,0.004,0.0136
"[2.88,3.12)",2e-04,0.0028,0.0022,0.016
"[3.12,3.36)",0,0.0022,0.001,0.013
"[3.36,3.6)",0,6e-04,0.001,0.0114
"[3.6,3.84)",0,8e-04,0.002,0.0104
"[3.84,4.08)",0,0.0012,2e-04,0.0086
"[4.08,4.32)",0,0.001,8e-04,0.0096
"[4.32,4.56)",0,4e-04,2e-04,0.0092
"[4.56,4.8)",0,8e-04,0,0.008
"[4.8,5.04)",0,2e-04,0,0.0058
"[5.04,5.28)",0,0,2e-04,0.0062
"[5.28,5.52)",0,2e-04,2e-04,0.0058
"[5.52,5.76)",0,4e-04,0,0.0054
"[5.76,6)",0,0,0,0.0064
