"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,2e-04,2e-04,0.0074
"[-5.76,-5.52)",0,0,0,0.0058
"[-5.52,-5.28)",0,0,2e-04,0.0068
"[-5.28,-5.04)",0,2e-04,4e-04,0.0056
"[-5.04,-4.8)",0,2e-04,4e-04,0.0054
"[-4.8,-4.56)",0,2e-04,0,0.0078
"[-4.56,-4.32)",0,6e-04,0,0.0068
"[-4.32,-4.08)",0,6e-04,8e-04,0.0108
"[-4.08,-3.84)",2e-04,8e-04,0.0014,0.0092
"[-3.84,-3.6)",4e-04,0.002,0.0014,0.0108
"[-3.6,-3.36)",4e-04,0.001,0.0014,0.0126
"[-3.36,-3.12)",2e-04,0.002,0.0022,0.0118
"[-3.12,-2.88)",0,0.0032,0.003,0.0158
"[-2.88,-2.64)",0,0.0032,0.0034,0.018
"[-2.64,-2.4)",2e-04,0.0034,0.004,0.0172
"[-2.4,-2.16)",8e-04,0.0064,0.0072,0.0202
"[-2.16,-1.92)",6e-04,0.0084,0.0082,0.0248
"[-1.92,-1.68)",0.003,0.01,0.0124,0.02
"[-1.68,-1.44)",0.003,0.0158,0.0172,0.0276
"[-1.44,-1.2)",0.0058,0.0268,0.0202,0.028
"[-1.2,-0.96)",0.0152,0.0332,0.0338,0.0298
"[-0.96,-0.72)",0.0296,0.05,0.0516,0.0324
"[-0.72,-0.48)",0.0694,0.0852,0.0772,0.0288
"[-0.48,-0.24)",0.1478,0.115,0.1102,0.0328
"[-0.24,0)",0.2186,0.1238,0.1338,0.0326
"[0,0.24)",0.2228,0.1414,0.139,0.0334
"[0.24,0.48)",0.1722,0.1114,0.1174,0.0372
"[0.48,0.72)",0.0562,0.0806,0.085,0.032
"[0.72,0.96)",0.0204,0.0516,0.0518,0.0292
"[0.96,1.2)",0.013,0.0364,0.034,0.0266
"[1.2,1.44)",0.0124,0.0284,0.0246,0.0238
"[1.44,1.68)",0.0034,0.0142,0.0144,0.0264
"[1.68,1.92)",0.0016,0.014,0.0128,0.0176
"[1.92,2.16)",8e-04,0.007,0.008,0.0246
"[2.16,2.4)",0.001,0.0052,0.0052,0.018
"[2.4,2.64)",6e-04,0.0038,0.005,0.0166
"[2.64,2.88)",0,0.0022,0.0036,0.013
"[2.88,3.12)",0,0.0016,0.0018,0.0156
"[3.12,3.36)",2e-04,0.0022,0.002,0.0122
"[3.36,3.6)",0,0.0012,0.0014,0.0118
"[3.6,3.84)",0,0.0018,0.0012,0.0116
"[3.84,4.08)",0,6e-04,4e-04,0.0078
"[4.08,4.32)",0,8e-04,6e-04,0.0084
"[4.32,4.56)",0,8e-04,4e-04,0.0106
"[4.56,4.8)",0,6e-04,2e-04,0.0084
"[4.8,5.04)",0,2e-04,0,0.006
"[5.04,5.28)",0,2e-04,4e-04,0.0072
"[5.28,5.52)",0,0,0,0.007
"[5.52,5.76)",0,2e-04,0,0.0062
"[5.76,6)",0,0,0,0.004
