"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,4e-04,0,0.006
"[-5.76,-5.52)",0,0,0,0.0058
"[-5.52,-5.28)",0,2e-04,2e-04,0.0052
"[-5.28,-5.04)",0,0,0,0.0052
"[-5.04,-4.8)",0,2e-04,0,0.0054
"[-4.8,-4.56)",0,4e-04,0,0.0042
"[-4.56,-4.32)",0,0.0012,0.0012,0.0084
"[-4.32,-4.08)",0,0.0014,8e-04,0.0098
"[-4.08,-3.84)",0,0.002,0.0022,0.0112
"[-3.84,-3.6)",0,0.0034,0.003,0.0126
"[-3.6,-3.36)",2e-04,0.0038,0.0026,0.0114
"[-3.36,-3.12)",0,0.0042,0.0056,0.015
"[-3.12,-2.88)",0,0.006,0.0056,0.0128
"[-2.88,-2.64)",6e-04,0.007,0.0102,0.018
"[-2.64,-2.4)",2e-04,0.0108,0.0124,0.0204
"[-2.4,-2.16)",6e-04,0.0178,0.0136,0.0188
"[-2.16,-1.92)",0.0042,0.0176,0.0202,0.0214
"[-1.92,-1.68)",0.0086,0.0232,0.0258,0.0232
"[-1.68,-1.44)",0.0136,0.03,0.0326,0.0258
"[-1.44,-1.2)",0.021,0.0384,0.039,0.0262
"[-1.2,-0.96)",0.0356,0.05,0.0474,0.0284
"[-0.96,-0.72)",0.0624,0.058,0.055,0.0294
"[-0.72,-0.48)",0.0814,0.0628,0.0644,0.036
"[-0.48,-0.24)",0.1084,0.0706,0.0694,0.0306
"[-0.24,0)",0.1266,0.0758,0.0734,0.034
"[0,0.24)",0.1278,0.0768,0.0736,0.0368
"[0.24,0.48)",0.1256,0.0756,0.072,0.032
"[0.48,0.72)",0.1028,0.0672,0.0658,0.0304
"[0.72,0.96)",0.07,0.059,0.058,0.032
"[0.96,1.2)",0.0484,0.0476,0.0502,0.0292
"[1.2,1.44)",0.0282,0.04,0.0406,0.0258
"[1.44,1.68)",0.0154,0.0346,0.0352,0.0242
"[1.68,1.92)",0.007,0.0256,0.028,0.024
"[1.92,2.16)",0.0056,0.0218,0.0228,0.0174
"[2.16,2.4)",0.003,0.016,0.017,0.02
"[2.4,2.64)",0.0012,0.0118,0.0136,0.0168
"[2.64,2.88)",4e-04,0.01,0.0104,0.0156
"[2.88,3.12)",8e-04,0.0066,0.0074,0.0166
"[3.12,3.36)",2e-04,0.005,0.006,0.0146
"[3.36,3.6)",0,0.0028,0.0044,0.0126
"[3.6,3.84)",2e-04,0.004,0.0036,0.0098
"[3.84,4.08)",0,0.0024,0.0032,0.009
"[4.08,4.32)",0,0.0018,0.0012,0.0092
"[4.32,4.56)",0,0.0012,0.0014,0.0104
"[4.56,4.8)",0,4e-04,2e-04,0.0072
"[4.8,5.04)",0,0.0016,8e-04,0.008
"[5.04,5.28)",0,0.0014,0,0.0064
"[5.28,5.52)",0,4e-04,0,0.0058
"[5.52,5.76)",0,0,0,0.0042
"[5.76,6)",0,2e-04,0,0.0042
