"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,0,0,0
"[-3.84,-3.6)",0,0,0,0
"[-3.6,-3.36)",0,0,0,0
"[-3.36,-3.12)",0,0,0,0
"[-3.12,-2.88)",0,0,0,0
"[-2.88,-2.64)",0,0,0,0
"[-2.64,-2.4)",0,2e-04,0,5e-04
"[-2.4,-2.16)",8e-04,0.0011,0.0017,0.0017
"[-2.16,-1.92)",0.0024,0.0032,0.0051,0.0049
"[-1.92,-1.68)",0.0068,0.0093,0.0103,0.011
"[-1.68,-1.44)",0.0132,0.0159,0.0211,0.02
"[-1.44,-1.2)",0.0333,0.0372,0.0382,0.0433
"[-1.2,-0.96)",0.06,0.064,0.0646,0.0719
"[-0.96,-0.72)",0.097,0.0974,0.0932,0.0991
"[-0.72,-0.48)",0.1289,0.1273,0.1153,0.1188
"[-0.48,-0.24)",0.1445,0.1378,0.1254,0.1262
"[-0.24,0)",0.1259,0.1188,0.116,0.1084
"[0,0.24)",0.0935,0.091,0.0913,0.0879
"[0.24,0.48)",0.0567,0.0554,0.0647,0.0543
"[0.48,0.72)",0.0345,0.0355,0.0446,0.0382
"[0.72,0.96)",0.0278,0.0253,0.0336,0.0258
"[0.96,1.2)",0.0309,0.0275,0.0313,0.0263
"[1.2,1.44)",0.0299,0.0295,0.0295,0.0285
"[1.44,1.68)",0.0314,0.0313,0.0291,0.0301
"[1.68,1.92)",0.0298,0.029,0.0267,0.0303
"[1.92,2.16)",0.0211,0.0223,0.0207,0.0263
"[2.16,2.4)",0.0146,0.018,0.0151,0.0194
"[2.4,2.64)",0.0081,0.0102,0.0105,0.013
"[2.64,2.88)",0.0053,0.007,0.0065,0.0077
"[2.88,3.12)",0.0026,0.0036,0.0039,0.0041
"[3.12,3.36)",9e-04,0.0016,0.0013,0.0017
"[3.36,3.6)",1e-04,6e-04,3e-04,6e-04
"[3.6,3.84)",0,0,0,0
"[3.84,4.08)",0,0,0,0
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,0,0,0
"[4.56,4.8)",0,0,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
