"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0795,0.0295
"2","PM",0.1,0.1228,0.0228
"3","PM",0.25,0.2243,-0.0257
"4","PM",0.75,0.6728,-0.0772
"5","PM",0.9,0.9625,0.0625
"6","PM",0.95,0.9846,0.0346
"7","CB",0.05,0.2424,0.1924
"8","CB",0.1,0.2813,0.1813
"9","CB",0.25,0.35,0.1
"10","CB",0.75,0.5848,-0.1652
"11","CB",0.9,0.8318,-0.0682
"12","CB",0.95,0.8795,-0.0705
"13","GR",0.05,0.2318,0.1818
"14","GR",0.1,0.2693,0.1693
"15","GR",0.25,0.342,0.092
"16","GR",0.75,0.5913,-0.1587
"17","GR",0.9,0.838,-0.062
"18","GR",0.95,0.881099999999999,-0.0689
"19","ML",0.05,0.3602,0.3102
"20","ML",0.1,0.3839,0.2839
"21","ML",0.25,0.4231,0.1731
"22","ML",0.75,0.5464,-0.2036
"23","ML",0.9,0.6911,-0.2089
"24","ML",0.95,0.7294,-0.2206
